onset	duration	description	channels
2.863272	0.848377	BAD boundary	
9.973000	0.000000	animal_target	
9.974000	0.000000	incorrect	
11.928000	0.000000	animal_target	
11.929000	0.000000	incorrect	
13.976000	0.000000	animal_target	
13.976607	0.000000	incorrect	
16.649395	0.282792	BAD boundary	
18.277000	0.000000	animal_target	
18.278000	0.000000	incorrect	
20.292000	0.000000	animal_target	
20.292473	0.000000	incorrect	
24.250000	0.000000	animal_distractor	
24.250496	0.000000	incorrect	
26.351999	0.000000	animal_distractor	
26.353001	0.000000	incorrect	
28.462999	0.000000	animal_target	
28.463417	0.000000	incorrect	
30.521000	0.000000	animal_target	
30.521414	0.000000	incorrect	
32.521000	0.000000	animal_distractor	
32.521008	0.000000	incorrect	
34.585999	0.000000	animal_distractor	
34.587002	0.000000	incorrect	
36.641998	0.000000	animal_target	
36.642696	0.000000	incorrect	
37.469977	0.353490	BAD boundary	
40.653000	0.000000	animal_target	
40.653450	0.000000	incorrect	
42.835999	0.000000	animal_distractor	
42.836357	0.000000	incorrect	
44.827999	0.000000	animal_distractor	
44.828999	0.000000	incorrect	
46.929001	0.000000	animal_target	
46.929356	0.000000	incorrect	
48.884998	0.000000	animal_distractor	
48.886002	0.000000	correct	
50.750999	0.000000	animal_target	
50.751427	0.000000	incorrect	
52.751999	0.000000	animal_distractor	
52.752998	0.000000	correct	
54.882000	0.000000	animal_distractor	
54.882999	0.000000	incorrect	
56.764000	0.000000	animal_target	
56.764702	0.000000	incorrect	
58.886002	0.000000	animal_target	
58.886543	0.000000	incorrect	
61.035999	0.000000	animal_target	
61.036999	0.000000	incorrect	
62.889000	0.000000	animal_distractor	
62.889999	0.000000	correct	
64.929001	0.000000	animal_target	
64.929512	0.000000	incorrect	
66.852997	0.000000	animal_target	
66.853569	0.000000	incorrect	
68.850998	0.000000	animal_target	
68.851440	0.000000	incorrect	
70.769997	0.000000	animal_distractor	
70.771004	0.000000	correct	
72.917000	0.000000	animal_target	
72.917465	0.000000	incorrect	
75.093002	0.000000	animal_distractor	
75.094002	0.000000	correct	
77.210999	0.000000	animal_target	
77.211517	0.000000	incorrect	
79.268997	0.000000	animal_distractor	
79.269997	0.000000	correct	
81.460999	0.000000	animal_target	
81.461342	0.000000	incorrect	
87.196999	0.000000	animal_target	
87.197365	0.000000	incorrect	
89.097000	0.000000	animal_distractor	
89.098000	0.000000	correct	
91.230003	0.000000	animal_distractor	
91.230408	0.000000	incorrect	
93.100998	0.000000	animal_target	
93.101608	0.000000	incorrect	
95.087997	0.000000	animal_distractor	
95.088997	0.000000	correct	
96.448341	4.100488	BAD boundary	
97.142998	0.000000	animal_distractor	
97.143997	0.000000	incorrect	
99.072998	0.000000	animal_distractor	
99.073997	0.000000	incorrect	
100.888000	0.000000	animal_target	
100.888451	0.000000	incorrect	
103.014999	0.000000	animal_target	
103.015495	0.000000	incorrect	
104.956001	0.000000	animal_target	
104.956718	0.000000	incorrect	
107.152000	0.000000	animal_distractor	
107.152397	0.000000	incorrect	
109.133003	0.000000	animal_distractor	
109.134003	0.000000	incorrect	
111.177002	0.000000	animal_target	
111.177521	0.000000	incorrect	
113.078003	0.000000	animal_distractor	
113.079002	0.000000	correct	
115.123001	0.000000	animal_target	
115.123497	0.000000	incorrect	
116.953003	0.000000	animal_target	
116.953644	0.000000	incorrect	
119.102997	0.000000	animal_distractor	
119.103996	0.000000	correct	
121.239998	0.000000	animal_distractor	
121.240997	0.000000	incorrect	
123.169998	0.000000	animal_distractor	
123.170998	0.000000	incorrect	
125.153999	0.000000	animal_distractor	
125.154999	0.000000	incorrect	
127.223999	0.000000	animal_target	
127.224434	0.000000	incorrect	
129.046005	0.000000	animal_distractor	
129.046997	0.000000	correct	
130.891006	0.000000	animal_distractor	
130.891998	0.000000	incorrect	
132.983002	0.000000	animal_target	
132.983459	0.000000	incorrect	
134.916000	0.000000	animal_distractor	
134.917007	0.000000	correct	
136.944000	0.000000	animal_distractor	
136.945007	0.000000	incorrect	
138.781998	0.000000	animal_distractor	
138.783005	0.000000	incorrect	
140.697006	0.000000	animal_distractor	
140.697998	0.000000	incorrect	
142.548996	0.000000	animal_distractor	
142.550003	0.000000	incorrect	
144.556000	0.000000	animal_distractor	
144.557007	0.000000	incorrect	
146.722000	0.000000	animal_target	
146.722427	0.000000	incorrect	
148.729004	0.000000	animal_target	
148.729431	0.000000	incorrect	
150.802002	0.000000	animal_distractor	
150.802994	0.000000	correct	
152.666000	0.000000	animal_distractor	
152.667007	0.000000	incorrect	
154.735001	0.000000	animal_target	
154.735550	0.000000	incorrect	
156.897003	0.000000	animal_target	
156.897995	0.000000	incorrect	
159.035004	0.000000	animal_distractor	
159.035995	0.000000	correct	
161.173004	0.000000	animal_distractor	
161.173996	0.000000	incorrect	
163.119995	0.000000	animal_target	
163.120361	0.000000	incorrect	
164.983002	0.000000	animal_distractor	
164.983994	0.000000	correct	
167.158997	0.000000	animal_target	
167.159485	0.000000	incorrect	
169.026001	0.000000	animal_distractor	
169.026993	0.000000	correct	
170.968002	0.000000	animal_target	
170.968445	0.000000	incorrect	
173.011002	0.000000	animal_target	
173.011536	0.000000	incorrect	
174.897995	0.000000	animal_target	
174.898544	0.000000	incorrect	
176.783005	0.000000	animal_target	
176.783447	0.000000	incorrect	
178.839005	0.000000	animal_target	
178.839996	0.000000	incorrect	
179.762752	1.166518	BAD boundary	
180.848999	0.000000	animal_target	
180.849640	0.000000	incorrect	
182.748001	0.000000	animal_distractor	
182.748993	0.000000	correct	
184.770004	0.000000	animal_target	
184.770370	0.000000	incorrect	
186.923996	0.000000	animal_distractor	
186.925003	0.000000	correct	
188.856003	0.000000	animal_distractor	
188.856995	0.000000	incorrect	
190.856995	0.000000	animal_target	
190.857452	0.000000	incorrect	
193.065002	0.000000	animal_distractor	
193.065994	0.000000	correct	
195.087997	0.000000	animal_target	
195.088577	0.000000	incorrect	
197.192993	0.000000	animal_target	
197.194000	0.000000	incorrect	
199.128998	0.000000	animal_distractor	
199.130005	0.000000	correct	
201.139999	0.000000	animal_target	
201.140427	0.000000	incorrect	
203.098007	0.000000	animal_distractor	
203.098999	0.000000	correct	
205.164001	0.000000	animal_distractor	
205.164993	0.000000	incorrect	
207.020004	0.000000	animal_distractor	
207.020996	0.000000	incorrect	
209.091003	0.000000	animal_target	
209.091507	0.000000	incorrect	
210.985001	0.000000	animal_distractor	
210.985992	0.000000	correct	
213.113007	0.000000	animal_target	
213.113998	0.000000	incorrect	
215.009995	0.000000	animal_distractor	
215.011002	0.000000	correct	
217.052002	0.000000	animal_distractor	
217.052994	0.000000	incorrect	
219.255997	0.000000	animal_target	
219.257004	0.000000	incorrect	
220.863998	0.353498	BAD boundary	
227.240000	0.000000	BAD boundary	
227.240000	0.000000	EDGE boundary	
230.861000	0.000000	difficult_distractor	
232.725000	0.000000	difficult_distractor	
234.753000	0.000000	difficult_distractor	
236.620000	0.000000	difficult_target	
237.090000	0.000000	correct	
238.460000	0.000000	difficult_target	
238.929000	0.000000	correct	
240.619000	0.000000	difficult_distractor	
242.453000	0.000000	difficult_target	
242.901000	0.000000	correct	
244.659001	0.000000	difficult_target	
245.195000	0.000000	correct	
246.485001	0.000000	difficult_target	
247.042000	0.000000	correct	
248.538000	0.000000	difficult_target	
248.969000	0.000000	correct	
250.541001	0.000000	difficult_target	
250.806999	0.000000	correct	
252.684000	0.000000	difficult_distractor	
253.015999	0.000000	incorrect	
254.809000	0.000000	difficult_target	
255.324999	0.000000	correct	
256.978001	0.000000	difficult_distractor	
259.089001	0.000000	difficult_distractor	
261.108000	0.000000	difficult_target	
261.561999	0.000000	correct	
263.184000	0.000000	difficult_distractor	
265.077002	0.000000	difficult_distractor	
266.970999	0.000000	difficult_target	
267.313002	0.000000	correct	
274.866999	0.000000	difficult_target	
275.274000	0.000000	correct	
276.692000	0.000000	difficult_distractor	
278.685999	0.000000	difficult_target	
279.122000	0.000000	correct	
280.891001	0.000000	difficult_target	
281.248999	0.000000	correct	
283.011000	0.000000	difficult_target	
283.376002	0.000000	correct	
285.164000	0.000000	difficult_target	
285.474001	0.000000	correct	
287.291998	0.000000	difficult_target	
287.626002	0.000000	correct	
289.267000	0.000000	difficult_distractor	
289.464998	0.000000	incorrect	
291.409998	0.000000	difficult_target	
291.803004	0.000000	correct	
298.458002	0.000000	difficult_distractor	
300.277003	0.000000	difficult_distractor	
302.122004	0.000000	difficult_target	
302.560999	0.000000	correct	
304.290003	0.000000	difficult_target	
304.311999	0.000000	correct	
306.122004	0.000000	difficult_target	
306.622004	0.000000	correct	
307.948000	0.000000	difficult_distractor	
309.769999	0.000000	difficult_target	
310.157000	0.000000	correct	
311.702997	0.000000	difficult_target	
312.055002	0.000000	correct	
313.902003	0.000000	difficult_distractor	
315.889002	0.000000	difficult_target	
316.166003	0.000000	correct	
318.057001	0.000000	difficult_target	
318.477000	0.000000	correct	
320.012003	0.000000	difficult_target	
320.453997	0.000000	correct	
322.153002	0.000000	difficult_target	
322.682001	0.000000	correct	
324.034998	0.000000	difficult_target	
324.334002	0.000000	correct	
326.175997	0.000000	difficult_target	
326.561999	0.000000	correct	
328.053004	0.000000	difficult_distractor	
330.025004	0.000000	difficult_target	
330.370997	0.000000	correct	
332.162997	0.000000	difficult_target	
332.476000	0.000000	correct	
334.335001	0.000000	difficult_distractor	
334.628000	0.000000	incorrect	
336.511004	0.000000	difficult_distractor	
338.584002	0.000000	difficult_target	
339.178004	0.000000	correct	
340.699999	0.000000	difficult_target	
341.115000	0.000000	correct	
342.588000	0.000000	difficult_distractor	
344.766001	0.000000	difficult_distractor	
346.949999	0.000000	difficult_target	
347.341997	0.000000	correct	
349.012003	0.000000	difficult_target	
349.509997	0.000000	correct	
351.018999	0.000000	difficult_distractor	
352.841997	0.000000	difficult_distractor	
354.861002	0.000000	difficult_distractor	
356.879999	0.000000	difficult_distractor	
358.906000	0.000000	difficult_target	
359.370997	0.000000	correct	
361.066004	0.000000	difficult_target	
361.486994	0.000000	correct	
362.949000	0.000000	difficult_distractor	
365.105997	0.000000	difficult_distractor	
367.118006	0.000000	difficult_target	
367.661005	0.000000	correct	
368.980997	0.000000	difficult_distractor	
370.900995	0.000000	difficult_target	
371.327997	0.000000	correct	
372.829996	0.000000	difficult_distractor	
374.902003	0.000000	difficult_distractor	
377.092997	0.000000	difficult_target	
377.460001	0.000000	correct	
379.253000	0.000000	difficult_distractor	
381.161997	0.000000	difficult_target	
381.613993	0.000000	correct	
383.096995	0.000000	difficult_distractor	
384.935999	0.000000	difficult_distractor	
386.986002	0.000000	difficult_distractor	
389.126002	0.000000	difficult_distractor	
391.126993	0.000000	difficult_distractor	
393.118006	0.000000	difficult_distractor	
395.060999	0.000000	difficult_distractor	
396.928995	0.000000	difficult_distractor	
399.055002	0.000000	difficult_distractor	
400.991999	0.000000	difficult_distractor	
403.036997	0.000000	difficult_distractor	
404.885004	0.000000	difficult_distractor	
406.937998	0.000000	difficult_distractor	
408.926005	0.000000	difficult_target	
409.338007	0.000000	correct	
410.993006	0.000000	difficult_distractor	
413.021006	0.000000	difficult_target	
413.411997	0.000000	correct	
414.947993	0.000000	difficult_target	
415.415003	0.000000	correct	
416.769999	0.000000	difficult_distractor	
418.954996	0.000000	difficult_distractor	
420.840006	0.000000	difficult_target	
421.286997	0.000000	correct	
422.786005	0.000000	difficult_distractor	
