name	x	y	z
FP1	0.83	0.27	0.48
FP2	0.83	-0.27	0.48
F3	0.50	0.40	0.77
F4	0.50	-0.40	0.77
C3	0.00	0.51	0.86
C4	0.00	-0.51	0.86
P3	-0.50	0.40	0.77
P4	-0.50	-0.40	0.77
O1	-0.83	0.27	0.48
O2	-0.83	-0.27	0.48
F7	0.52	0.71	0.48
F8	0.52	-0.71	0.48
T3	0.00	0.88	0.48
T4	0.00	-0.88	0.48
T5	-0.52	0.71	0.48
T6	-0.52	-0.71	0.48
FZ	0.51	-0.00	0.86
PZ	-0.51	-0.00	0.86
T5'	-0.27	0.83	0.48
T6'	-0.27	-0.83	0.48
O1'	-0.71	0.52	0.48
O2'	-0.71	-0.52	0.48
P3"	-0.66	0.37	0.65
P4"	-0.66	-0.37	0.65
PZ"	-0.72	-0.00	0.69
OZ	-0.88	-0.00	0.48
I	-0.97	-0.00	0.23
CB1"	-0.93	0.30	0.23
CB2"	-0.93	-0.30	0.23
CB1	-0.79	0.57	0.23
CB2	-0.79	-0.57	0.23
