onset	duration	sample	trial_type	response_time	stim_file	value
5.9880000000	n/a	n/a	stimulus	617	93045.jpg	difficult_target
6.6050000000	n/a	n/a	response	n/a	n/a	correct
7.8110000000	n/a	n/a	stimulus	n/a	44021.jpg	difficult_distractor
9.8120000000	n/a	n/a	stimulus	n/a	172094.jpg	difficult_distractor
11.6830000000	n/a	n/a	stimulus	470	93045.jpg	difficult_target
12.1530000000	n/a	n/a	response	n/a	n/a	correct
13.8560000000	n/a	n/a	stimulus	449	93045.jpg	difficult_target
14.3050000000	n/a	n/a	response	n/a	n/a	correct
15.9230000000	n/a	n/a	stimulus	n/a	86075.jpg	difficult_distractor
17.8240000000	n/a	n/a	stimulus	366	93045.jpg	difficult_target
18.1900000000	n/a	n/a	response	n/a	n/a	correct
19.7600000000	n/a	n/a	stimulus	373	93045.jpg	difficult_target
20.1330000000	n/a	n/a	response	n/a	n/a	correct
21.8820000000	n/a	n/a	stimulus	n/a	334056.jpg	difficult_distractor
23.8900000000	n/a	n/a	stimulus	486	93045.jpg	difficult_target
24.3760000000	n/a	n/a	response	n/a	n/a	correct
25.9280000000	n/a	n/a	stimulus	n/a	36196.jpg	difficult_distractor
28.0960000000	n/a	n/a	stimulus	380	93045.jpg	difficult_target
28.4760000000	n/a	n/a	response	n/a	n/a	correct
30.0530000000	n/a	n/a	stimulus	434	93045.jpg	difficult_target
30.4870000000	n/a	n/a	response	n/a	n/a	correct
32.0510000000	n/a	n/a	stimulus	n/a	250066.jpg	difficult_distractor
34.0110000000	n/a	n/a	stimulus	n/a	48066.jpg	difficult_distractor
36.2210000000	n/a	n/a	stimulus	n/a	2084.jpg	difficult_distractor
38.3610000000	n/a	n/a	stimulus	n/a	253050.jpg	difficult_distractor
40.3710000000	n/a	n/a	stimulus	441	93045.jpg	difficult_target
40.8120000000	n/a	n/a	response	n/a	n/a	correct
42.2070000000	n/a	n/a	stimulus	n/a	286002.jpg	difficult_distractor
44.0830000000	n/a	n/a	stimulus	n/a	11081.jpg	difficult_distractor
45.9730000000	n/a	n/a	stimulus	387	93045.jpg	difficult_target
46.3600000000	n/a	n/a	response	n/a	n/a	correct
47.8990000000	n/a	n/a	stimulus	n/a	142019.jpg	difficult_distractor
49.7750000000	n/a	n/a	stimulus	443	93045.jpg	difficult_target
50.2180000000	n/a	n/a	response	n/a	n/a	correct
51.9700000000	n/a	n/a	stimulus	n/a	138024.jpg	difficult_distractor
54.1480000000	n/a	n/a	stimulus	n/a	147095.jpg	difficult_distractor
56.3270000000	n/a	n/a	stimulus	379	93045.jpg	difficult_target
56.7060000000	n/a	n/a	response	n/a	n/a	correct
58.3230000000	n/a	n/a	stimulus	427	93045.jpg	difficult_target
58.7500000000	n/a	n/a	response	n/a	n/a	correct
60.3520000000	n/a	n/a	stimulus	n/a	111004.jpg	difficult_distractor
62.3940000000	n/a	n/a	stimulus	351	93045.jpg	difficult_target
62.7450000000	n/a	n/a	response	n/a	n/a	correct
64.4060000000	n/a	n/a	stimulus	425	93045.jpg	difficult_target
64.8310000000	n/a	n/a	response	n/a	n/a	correct
