Stage,ROI,Channels Used,Time (ms),Cohen's d
After ICA,Frontal ROI,"F3,FZ,F4",0.0,-0.012187155419506953
After ICA,Frontal ROI,"F3,FZ,F4",1.0,-0.02124933356954047
After ICA,Frontal ROI,"F3,FZ,F4",2.0,-0.026967328664455625
After ICA,Frontal ROI,"F3,FZ,F4",3.0,-0.02869025157983475
After ICA,Frontal ROI,"F3,FZ,F4",4.0,-0.02639686101538527
After ICA,Frontal ROI,"F3,FZ,F4",5.0,-0.020688886076559877
After ICA,Frontal ROI,"F3,FZ,F4",6.0,-0.012667089773150559
After ICA,Frontal ROI,"F3,FZ,F4",7.0,-0.0036823353003617807
After ICA,Frontal ROI,"F3,FZ,F4",8.0,0.004991782798633215
After ICA,Frontal ROI,"F3,FZ,F4",9.0,0.012466298792843935
After ICA,Frontal ROI,"F3,FZ,F4",10.0,0.01842085720549826
After ICA,Frontal ROI,"F3,FZ,F4",11.0,0.02311102060622082
After ICA,Frontal ROI,"F3,FZ,F4",12.0,0.02720851640313196
After ICA,Frontal ROI,"F3,FZ,F4",13.0,0.031528191595687996
After ICA,Frontal ROI,"F3,FZ,F4",14.0,0.03673089068064425
After ICA,Frontal ROI,"F3,FZ,F4",15.0,0.04310550758275955
After ICA,Frontal ROI,"F3,FZ,F4",16.0,0.05050249610103859
After ICA,Frontal ROI,"F3,FZ,F4",17.0,0.05842550849666844
After ICA,Frontal ROI,"F3,FZ,F4",18.0,0.06622898647430807
After ICA,Frontal ROI,"F3,FZ,F4",19.0,0.07334187394102827
After ICA,Frontal ROI,"F3,FZ,F4",20.0,0.07943682686974547
After ICA,Frontal ROI,"F3,FZ,F4",21.0,0.08447674379520746
After ICA,Frontal ROI,"F3,FZ,F4",22.0,0.0886078408915336
After ICA,Frontal ROI,"F3,FZ,F4",23.0,0.09193891458941351
After ICA,Frontal ROI,"F3,FZ,F4",24.0,0.09431437309763557
After ICA,Frontal ROI,"F3,FZ,F4",25.0,0.09520626692860833
After ICA,Frontal ROI,"F3,FZ,F4",26.0,0.09380444576033509
After ICA,Frontal ROI,"F3,FZ,F4",27.0,0.08929603021162151
After ICA,Frontal ROI,"F3,FZ,F4",28.0,0.08123544996344191
After ICA,Frontal ROI,"F3,FZ,F4",29.0,0.06985424819695957
After ICA,Frontal ROI,"F3,FZ,F4",30.0,0.05617696314016551
After ICA,Frontal ROI,"F3,FZ,F4",31.0,0.04190161971152099
After ICA,Frontal ROI,"F3,FZ,F4",32.0,0.02909969950388752
After ICA,Frontal ROI,"F3,FZ,F4",33.0,0.01981113731895897
After ICA,Frontal ROI,"F3,FZ,F4",34.0,0.015601984387408011
After ICA,Frontal ROI,"F3,FZ,F4",35.0,0.01719948205588888
After ICA,Frontal ROI,"F3,FZ,F4",36.0,0.02434282053794563
After ICA,Frontal ROI,"F3,FZ,F4",37.0,0.0358815658162869
After ICA,Frontal ROI,"F3,FZ,F4",38.0,0.050032192093440175
After ICA,Frontal ROI,"F3,FZ,F4",39.0,0.06470460350086106
After ICA,Frontal ROI,"F3,FZ,F4",40.0,0.07785198043085413
After ICA,Frontal ROI,"F3,FZ,F4",41.0,0.08778573128564408
After ICA,Frontal ROI,"F3,FZ,F4",42.0,0.09340101984902918
After ICA,Frontal ROI,"F3,FZ,F4",43.0,0.09431132572459236
After ICA,Frontal ROI,"F3,FZ,F4",44.0,0.09090152363587274
After ICA,Frontal ROI,"F3,FZ,F4",45.0,0.0842684581633545
After ICA,Frontal ROI,"F3,FZ,F4",46.0,0.076014242315121
After ICA,Frontal ROI,"F3,FZ,F4",47.0,0.06791629027061705
After ICA,Frontal ROI,"F3,FZ,F4",48.0,0.06156375837523448
After ICA,Frontal ROI,"F3,FZ,F4",49.0,0.05807770336993984
After ICA,Frontal ROI,"F3,FZ,F4",50.0,0.05799534136939606
