stage,roi,condition,trial_index,amp_uV,peak_latency_ms
Before ICA,Parieto-occipital ROI,familiar,0,16.632357722662857,398.0
Before ICA,Parieto-occipital ROI,familiar,1,12.461583310749193,499.0
Before ICA,Parieto-occipital ROI,familiar,2,15.759354181748739,330.0
Before ICA,Parieto-occipital ROI,familiar,3,18.737730191102358,466.0
Before ICA,Parieto-occipital ROI,familiar,4,19.19131174574697,434.0
Before ICA,Parieto-occipital ROI,familiar,5,7.495780295213105,366.0
Before ICA,Parieto-occipital ROI,familiar,6,20.532981988448526,318.0
Before ICA,Parieto-occipital ROI,familiar,7,10.925521544897583,325.0
Before ICA,Parieto-occipital ROI,familiar,8,16.70259564427965,300.0
Before ICA,Parieto-occipital ROI,familiar,9,16.54639068700533,410.0
Before ICA,Parieto-occipital ROI,familiar,10,7.171192657799859,373.0
Before ICA,Parieto-occipital ROI,familiar,11,10.827950100702628,347.0
Before ICA,Parieto-occipital ROI,familiar,12,13.040471204968595,488.0
Before ICA,Parieto-occipital ROI,familiar,13,9.148104098586318,372.0
Before ICA,Parieto-occipital ROI,familiar,14,17.875521182709623,393.0
Before ICA,Parieto-occipital ROI,familiar,15,14.963738298180838,334.0
Before ICA,Parieto-occipital ROI,familiar,16,18.484463005633316,363.0
Before ICA,Parieto-occipital ROI,familiar,17,27.770542714793585,415.0
Before ICA,Parieto-occipital ROI,familiar,18,22.219888314144146,341.0
Before ICA,Parieto-occipital ROI,familiar,19,15.01594093572551,390.0
Before ICA,Parieto-occipital ROI,familiar,20,22.321695533936047,352.0
Before ICA,Parieto-occipital ROI,familiar,21,16.972854495694992,416.0
Before ICA,Parieto-occipital ROI,familiar,22,4.867843336428135,404.0
Before ICA,Parieto-occipital ROI,familiar,23,0.6480894880192808,400.0
Before ICA,Parieto-occipital ROI,familiar,24,10.8570834544107,389.0
Before ICA,Parieto-occipital ROI,familiar,25,14.856449983472084,371.0
Before ICA,Parieto-occipital ROI,familiar,26,-1.9252824413340712,323.0
Before ICA,Parieto-occipital ROI,familiar,27,5.175928663985863,349.0
Before ICA,Parieto-occipital ROI,familiar,28,14.003045969328648,373.0
Before ICA,Parieto-occipital ROI,familiar,29,13.216676129203119,371.0
Before ICA,Parieto-occipital ROI,familiar,30,12.220323241813851,493.0
Before ICA,Parieto-occipital ROI,familiar,31,17.655135433315802,467.0
Before ICA,Parieto-occipital ROI,familiar,32,16.970146850186993,376.0
Before ICA,Parieto-occipital ROI,familiar,33,18.081107364827517,392.0
Before ICA,Parieto-occipital ROI,familiar,34,14.311142692995185,391.0
Before ICA,Parieto-occipital ROI,familiar,35,7.345645668754404,313.0
