stage,roi,condition,trial_index,amp_uV,peak_latency_ms
After ICA,Frontal ROI,familiar,0,-10.449938837925766,325.0
After ICA,Frontal ROI,familiar,1,10.51130361250795,387.0
After ICA,Frontal ROI,familiar,2,8.228315138169165,479.0
After ICA,Frontal ROI,familiar,3,-6.0418583067120135,300.0
After ICA,Frontal ROI,familiar,4,-4.399646941015515,418.0
After ICA,Frontal ROI,familiar,5,6.465195290995089,488.0
After ICA,Frontal ROI,familiar,6,-8.89004463045754,464.0
After ICA,Frontal ROI,familiar,7,-7.460695902024692,433.0
After ICA,Frontal ROI,familiar,8,-6.404064749480754,316.0
After ICA,Frontal ROI,familiar,9,-20.070359612839926,328.0
After ICA,Frontal ROI,familiar,10,-12.9585693935472,302.0
After ICA,Frontal ROI,familiar,11,-10.443195549329538,382.0
After ICA,Frontal ROI,familiar,12,-3.6683996485776125,332.0
After ICA,Frontal ROI,familiar,13,4.12933225179706,450.0
After ICA,Frontal ROI,familiar,14,-0.8412901159413717,404.0
After ICA,Frontal ROI,familiar,15,-4.506517796233865,393.0
After ICA,Frontal ROI,familiar,16,-12.87610729848949,500.0
After ICA,Frontal ROI,familiar,17,-4.836763136469361,500.0
After ICA,Frontal ROI,familiar,18,-18.40241992465517,301.0
After ICA,Frontal ROI,familiar,19,-7.911986287161704,444.0
After ICA,Frontal ROI,familiar,20,-12.656945640148258,313.0
After ICA,Frontal ROI,familiar,21,15.68285936872239,500.0
After ICA,Frontal ROI,familiar,22,1.1142641554836243,356.0
After ICA,Frontal ROI,familiar,23,12.280356494580667,432.0
After ICA,Frontal ROI,familiar,24,4.70814959231152,446.0
After ICA,Frontal ROI,familiar,25,-7.220100825058353,307.0
After ICA,Frontal ROI,familiar,26,25.345244843190724,492.0
After ICA,Frontal ROI,familiar,27,42.218597781564014,479.0
After ICA,Frontal ROI,familiar,28,-15.456340037007648,317.0
After ICA,Frontal ROI,familiar,29,-14.013238628250674,475.0
After ICA,Frontal ROI,familiar,30,-17.567612154477743,490.0
After ICA,Frontal ROI,familiar,31,-19.115509970113575,305.0
After ICA,Frontal ROI,familiar,32,-21.55322386051195,469.0
After ICA,Frontal ROI,familiar,33,-10.309134783074928,450.0
After ICA,Frontal ROI,familiar,34,-4.142355141527977,476.0
After ICA,Frontal ROI,familiar,35,4.734695402679798,421.0
After ICA,Frontal ROI,familiar,36,-16.43565896911282,307.0
After ICA,Frontal ROI,familiar,37,3.0475274870276126,387.0
After ICA,Frontal ROI,familiar,38,-1.1054794064583564,450.0
After ICA,Frontal ROI,familiar,39,-11.033754270588917,322.0
After ICA,Frontal ROI,familiar,40,-5.056938399675731,337.0
After ICA,Frontal ROI,familiar,41,-10.872142633561237,472.0
After ICA,Frontal ROI,familiar,42,-2.6787604647187235,448.0
After ICA,Frontal ROI,familiar,43,3.6592003662301704,482.0
After ICA,Frontal ROI,familiar,44,13.961895172804585,499.0
After ICA,Frontal ROI,familiar,45,1.362234877100095,412.0
After ICA,Frontal ROI,familiar,46,8.287440863755435,377.0
After ICA,Frontal ROI,familiar,47,-4.478988671175442,491.0
After ICA,Frontal ROI,familiar,48,-6.581350601934636,499.0
After ICA,Frontal ROI,familiar,49,-6.284233354723492,425.0
After ICA,Frontal ROI,familiar,50,11.13553203977953,377.0
After ICA,Frontal ROI,familiar,51,-13.289063602468804,308.0
After ICA,Frontal ROI,familiar,52,5.871028408328867,454.0
After ICA,Frontal ROI,familiar,53,6.104175742554447,304.0
After ICA,Frontal ROI,familiar,54,-0.6398861854897505,328.0
After ICA,Frontal ROI,familiar,55,-0.13895679883667056,414.0
After ICA,Frontal ROI,familiar,56,2.4056281049591113,301.0
After ICA,Frontal ROI,familiar,57,-4.270501590397251,404.0
After ICA,Frontal ROI,familiar,58,0.054157476149244266,439.0
After ICA,Frontal ROI,familiar,59,0.6580979689205232,480.0
After ICA,Frontal ROI,familiar,60,9.720033054236506,453.0
After ICA,Frontal ROI,familiar,61,-2.990211693616219,313.0
After ICA,Frontal ROI,familiar,62,4.531449498066532,490.0
After ICA,Frontal ROI,familiar,63,6.587519914873896,485.0
After ICA,Frontal ROI,familiar,64,-6.385531502738356,479.0
After ICA,Frontal ROI,familiar,65,10.016578997097584,438.0
After ICA,Frontal ROI,familiar,66,-1.2288375764727304,313.0
After ICA,Frontal ROI,familiar,67,-0.449015952024298,471.0
After ICA,Frontal ROI,familiar,68,-11.422533075239695,308.0
After ICA,Frontal ROI,familiar,69,-4.687993157878274,300.0
