stage,roi,condition,trial_index,amp_uV,peak_latency_ms
Before ICA,Frontal ROI,familiar,0,-6.362998954751658,446.0
Before ICA,Frontal ROI,familiar,1,-20.367315793775923,300.0
Before ICA,Frontal ROI,familiar,2,-18.593588170234902,488.0
Before ICA,Frontal ROI,familiar,3,-19.31203958499131,310.0
Before ICA,Frontal ROI,familiar,4,-14.811305214615663,427.0
Before ICA,Frontal ROI,familiar,5,-2.3113481363254667,498.0
Before ICA,Frontal ROI,familiar,6,-27.42387212573865,362.0
Before ICA,Frontal ROI,familiar,7,-3.267676962414597,460.0
Before ICA,Frontal ROI,familiar,8,-13.583219223692154,477.0
Before ICA,Frontal ROI,familiar,9,-13.857050776898541,468.0
Before ICA,Frontal ROI,familiar,10,-10.226710602846733,460.0
Before ICA,Frontal ROI,familiar,11,-16.8830427328041,364.0
Before ICA,Frontal ROI,familiar,12,-21.94143876886903,383.0
Before ICA,Frontal ROI,familiar,13,-19.464171542026193,311.0
Before ICA,Frontal ROI,familiar,14,-16.141357724525196,300.0
Before ICA,Frontal ROI,familiar,15,-2.391999503548289,302.0
Before ICA,Frontal ROI,familiar,16,-23.57164268772267,497.0
Before ICA,Frontal ROI,familiar,17,8.102559170731718,491.0
Before ICA,Frontal ROI,familiar,18,-5.910090083454137,445.0
Before ICA,Frontal ROI,familiar,19,-26.31925538276169,339.0
Before ICA,Frontal ROI,familiar,20,-23.935287391736175,461.0
Before ICA,Frontal ROI,familiar,21,-9.19482717022593,485.0
Before ICA,Frontal ROI,familiar,22,-4.941175050557301,300.0
Before ICA,Frontal ROI,familiar,23,-17.693038148430613,485.0
Before ICA,Frontal ROI,familiar,24,-16.42884572685841,392.0
Before ICA,Frontal ROI,familiar,25,-17.18445423992287,480.0
Before ICA,Frontal ROI,familiar,26,-4.622452601065607,347.0
Before ICA,Frontal ROI,familiar,27,-18.55748492187288,347.0
Before ICA,Frontal ROI,familiar,28,-16.783171416250475,461.0
Before ICA,Frontal ROI,familiar,29,-23.393355351786244,488.0
Before ICA,Frontal ROI,familiar,30,-1.7878312212430039,392.0
Before ICA,Frontal ROI,familiar,31,-4.745397934583886,312.0
Before ICA,Frontal ROI,familiar,32,-23.52924864448947,395.0
Before ICA,Frontal ROI,familiar,33,-12.851951081038608,340.0
Before ICA,Frontal ROI,familiar,34,-10.797201395449267,361.0
Before ICA,Frontal ROI,familiar,35,-11.879098088006067,498.0
Before ICA,Frontal ROI,familiar,36,-16.890983716512782,496.0
Before ICA,Frontal ROI,familiar,37,-12.905945077209063,363.0
Before ICA,Frontal ROI,familiar,38,1.9818786041116596,489.0
Before ICA,Frontal ROI,familiar,39,-18.59128779958717,478.0
Before ICA,Frontal ROI,familiar,40,-11.295928551909036,425.0
Before ICA,Frontal ROI,familiar,41,-15.261555566072511,423.0
Before ICA,Frontal ROI,familiar,42,-9.815711004724982,324.0
Before ICA,Frontal ROI,familiar,43,-13.673893603567924,487.0
Before ICA,Frontal ROI,familiar,44,-9.627943567232364,407.0
Before ICA,Frontal ROI,familiar,45,5.811375294897623,341.0
Before ICA,Frontal ROI,familiar,46,1.3687929585914895,457.0
Before ICA,Frontal ROI,familiar,47,-17.475275226548582,422.0
Before ICA,Frontal ROI,familiar,48,-14.852581184872577,311.0
Before ICA,Frontal ROI,familiar,49,-20.502007127304655,493.0
Before ICA,Frontal ROI,familiar,50,17.4367198512228,347.0
Before ICA,Frontal ROI,familiar,51,-11.07033886829569,312.0
Before ICA,Frontal ROI,familiar,52,11.068791657086814,437.0
Before ICA,Frontal ROI,familiar,53,-1.1803894179449559,369.0
Before ICA,Frontal ROI,familiar,54,-2.8726887515195125,315.0
Before ICA,Frontal ROI,familiar,55,1.1168372013130607,341.0
Before ICA,Frontal ROI,familiar,56,-3.4828396134480335,302.0
Before ICA,Frontal ROI,familiar,57,-9.572122599707924,369.0
Before ICA,Frontal ROI,familiar,58,5.226008492200798,405.0
Before ICA,Frontal ROI,familiar,59,4.3677729406872405,354.0
Before ICA,Frontal ROI,familiar,60,-2.56107733938074,300.0
Before ICA,Frontal ROI,familiar,61,5.155556743470689,486.0
Before ICA,Frontal ROI,familiar,62,-4.417347922919802,497.0
Before ICA,Frontal ROI,familiar,63,17.006872728001827,367.0
Before ICA,Frontal ROI,familiar,64,-23.969227644272955,368.0
Before ICA,Frontal ROI,familiar,65,-5.304816536123849,445.0
Before ICA,Frontal ROI,familiar,66,-5.860428329427426,415.0
Before ICA,Frontal ROI,familiar,67,4.537559685525851,378.0
Before ICA,Frontal ROI,familiar,68,1.050896110845759,481.0
Before ICA,Frontal ROI,familiar,69,-2.0439804206608705,380.0
Before ICA,Frontal ROI,familiar,70,-14.682888333844703,361.0
Before ICA,Frontal ROI,familiar,71,-5.554099059663313,314.0
Before ICA,Frontal ROI,familiar,72,-16.941662574916748,338.0
Before ICA,Frontal ROI,familiar,73,2.5163351575888124,332.0
Before ICA,Frontal ROI,familiar,74,-3.1719312176390555,469.0
Before ICA,Frontal ROI,familiar,75,2.2654865142600773,419.0
Before ICA,Frontal ROI,familiar,76,-3.250563888588664,493.0
Before ICA,Frontal ROI,familiar,77,9.15531154569899,401.0
Before ICA,Frontal ROI,familiar,78,-1.5980194862232675,479.0
Before ICA,Frontal ROI,familiar,79,-16.93127475338289,362.0
Before ICA,Frontal ROI,familiar,80,1.020857342007197,487.0
Before ICA,Frontal ROI,familiar,81,-6.404845080695043,388.0
Before ICA,Frontal ROI,familiar,82,8.479287651986745,482.0
Before ICA,Frontal ROI,familiar,83,4.1056004036855525,377.0
Before ICA,Frontal ROI,familiar,84,-16.91450141675169,408.0
Before ICA,Frontal ROI,familiar,85,-12.576514061685135,329.0
Before ICA,Frontal ROI,familiar,86,16.642994328513605,386.0
Before ICA,Frontal ROI,familiar,87,0.9567543924083383,441.0
Before ICA,Frontal ROI,familiar,88,0.6543325042113723,343.0
Before ICA,Frontal ROI,familiar,89,0.45303004235636396,474.0
Before ICA,Frontal ROI,familiar,90,-12.724474036950436,499.0
Before ICA,Frontal ROI,familiar,91,-7.6280596241663785,498.0
Before ICA,Frontal ROI,familiar,92,-0.46372613848594363,404.0
Before ICA,Frontal ROI,familiar,93,1.2848778688535896,391.0
Before ICA,Frontal ROI,familiar,94,0.9878433149690602,359.0
Before ICA,Frontal ROI,familiar,95,-8.438908085721176,405.0
Before ICA,Frontal ROI,familiar,96,-2.5049258943103583,314.0
Before ICA,Frontal ROI,familiar,97,-4.520270842313981,303.0
Before ICA,Frontal ROI,familiar,98,-12.37217049439637,449.0
Before ICA,Frontal ROI,familiar,99,4.171105839000884,465.0
Before ICA,Frontal ROI,familiar,100,26.686650979484686,500.0
