stage,roi,condition,trial_index,amp_uV,peak_latency_ms
After ICA,Parieto-occipital ROI,familiar,0,-0.2646382028585979,300.0
After ICA,Parieto-occipital ROI,familiar,1,-7.184521119263191,427.0
After ICA,Parieto-occipital ROI,familiar,2,0.7995291284809264,459.0
After ICA,Parieto-occipital ROI,familiar,3,-8.240560778543639,479.0
After ICA,Parieto-occipital ROI,familiar,4,7.675013159282319,342.0
After ICA,Parieto-occipital ROI,familiar,5,-4.54608827262618,426.0
After ICA,Parieto-occipital ROI,familiar,6,14.278505137324585,309.0
After ICA,Parieto-occipital ROI,familiar,7,7.748471643988241,313.0
After ICA,Parieto-occipital ROI,familiar,8,11.379427198135431,407.0
After ICA,Parieto-occipital ROI,familiar,9,0.3228165414127061,468.0
After ICA,Parieto-occipital ROI,familiar,10,11.382489057888817,339.0
After ICA,Parieto-occipital ROI,familiar,11,5.757349867822345,361.0
After ICA,Parieto-occipital ROI,familiar,12,0.30175829182372355,395.0
After ICA,Parieto-occipital ROI,familiar,13,-6.14762707874812,498.0
After ICA,Parieto-occipital ROI,familiar,14,1.0295728545096312,372.0
After ICA,Parieto-occipital ROI,familiar,15,10.222271682130453,373.0
After ICA,Parieto-occipital ROI,familiar,16,14.649349773116993,340.0
After ICA,Parieto-occipital ROI,familiar,17,10.413240151936265,317.0
After ICA,Parieto-occipital ROI,familiar,18,13.689869895675512,426.0
After ICA,Parieto-occipital ROI,familiar,19,8.099516776485762,355.0
After ICA,Parieto-occipital ROI,familiar,20,11.184074607300055,437.0
After ICA,Parieto-occipital ROI,familiar,21,-8.67011605030942,358.0
After ICA,Parieto-occipital ROI,familiar,22,-15.95250564329113,496.0
After ICA,Parieto-occipital ROI,familiar,23,-20.127273021482132,362.0
After ICA,Parieto-occipital ROI,familiar,24,-8.971279863233677,460.0
After ICA,Parieto-occipital ROI,familiar,25,-18.1567939883008,396.0
After ICA,Parieto-occipital ROI,familiar,26,-8.576991341562884,448.0
After ICA,Parieto-occipital ROI,familiar,27,-10.379959641688485,500.0
After ICA,Parieto-occipital ROI,familiar,28,18.436379532001418,386.0
After ICA,Parieto-occipital ROI,familiar,29,9.101526724773514,340.0
After ICA,Parieto-occipital ROI,familiar,30,5.773739924356956,310.0
After ICA,Parieto-occipital ROI,familiar,31,9.613022731089856,373.0
After ICA,Parieto-occipital ROI,familiar,32,8.760051869252854,423.0
After ICA,Parieto-occipital ROI,familiar,33,8.126801737495612,380.0
After ICA,Parieto-occipital ROI,familiar,34,5.342316079666514,327.0
After ICA,Parieto-occipital ROI,familiar,35,-7.700225918532892,352.0
After ICA,Parieto-occipital ROI,familiar,36,13.14806688599319,309.0
After ICA,Parieto-occipital ROI,familiar,37,6.853801323399968,302.0
After ICA,Parieto-occipital ROI,familiar,38,-6.521978203400279,304.0
After ICA,Parieto-occipital ROI,familiar,39,1.7665290444812516,381.0
After ICA,Parieto-occipital ROI,familiar,40,-1.6278820307059019,345.0
After ICA,Parieto-occipital ROI,familiar,41,9.758087194299216,302.0
After ICA,Parieto-occipital ROI,familiar,42,-9.842127290606268,303.0
After ICA,Parieto-occipital ROI,familiar,43,-5.6585592274165935,364.0
After ICA,Parieto-occipital ROI,familiar,44,-9.321490182781021,346.0
After ICA,Parieto-occipital ROI,familiar,45,-6.612449669332689,358.0
After ICA,Parieto-occipital ROI,familiar,46,2.8274600566078547,470.0
After ICA,Parieto-occipital ROI,familiar,47,-0.17050648895698478,342.0
After ICA,Parieto-occipital ROI,familiar,48,14.793746643310087,366.0
After ICA,Parieto-occipital ROI,familiar,49,1.8359865501785486,400.0
After ICA,Parieto-occipital ROI,familiar,50,0.4974875168123657,498.0
After ICA,Parieto-occipital ROI,familiar,51,15.761731340647774,350.0
After ICA,Parieto-occipital ROI,familiar,52,-10.24301431580085,454.0
After ICA,Parieto-occipital ROI,familiar,53,5.032436820013515,345.0
After ICA,Parieto-occipital ROI,familiar,54,-10.361272606735312,496.0
After ICA,Parieto-occipital ROI,familiar,55,-15.230377013611266,459.0
After ICA,Parieto-occipital ROI,familiar,56,7.882611086682656,387.0
After ICA,Parieto-occipital ROI,familiar,57,9.388515750527942,339.0
After ICA,Parieto-occipital ROI,familiar,58,-4.042876007786189,483.0
After ICA,Parieto-occipital ROI,familiar,59,-7.062602048992774,304.0
After ICA,Parieto-occipital ROI,familiar,60,-3.2456498059602494,376.0
After ICA,Parieto-occipital ROI,familiar,61,-1.0055434673744137,439.0
After ICA,Parieto-occipital ROI,familiar,62,-5.630788798758855,354.0
After ICA,Parieto-occipital ROI,familiar,63,-9.7062225879044,300.0
After ICA,Parieto-occipital ROI,familiar,64,4.9315375902234875,432.0
After ICA,Parieto-occipital ROI,familiar,65,-14.763027418498169,311.0
After ICA,Parieto-occipital ROI,familiar,66,-10.39192753789731,386.0
After ICA,Parieto-occipital ROI,familiar,67,-2.746872890591898,325.0
After ICA,Parieto-occipital ROI,familiar,68,13.51601414396271,377.0
After ICA,Parieto-occipital ROI,familiar,69,-4.883167412033186,498.0
After ICA,Parieto-occipital ROI,familiar,70,-1.290717985303515,408.0
After ICA,Parieto-occipital ROI,familiar,71,-7.833450591810518,352.0
After ICA,Parieto-occipital ROI,familiar,72,-3.714271676609722,496.0
After ICA,Parieto-occipital ROI,familiar,73,3.3236723295309574,466.0
After ICA,Parieto-occipital ROI,familiar,74,13.050544224542538,484.0
After ICA,Parieto-occipital ROI,familiar,75,-7.115553052180428,325.0
After ICA,Parieto-occipital ROI,familiar,76,-1.140223974243603,421.0
After ICA,Parieto-occipital ROI,familiar,77,10.355910612247433,325.0
After ICA,Parieto-occipital ROI,familiar,78,1.2490590640863644,484.0
After ICA,Parieto-occipital ROI,familiar,79,-13.322363324396946,300.0
After ICA,Parieto-occipital ROI,familiar,80,-9.478357201421705,433.0
After ICA,Parieto-occipital ROI,familiar,81,-8.433092356237001,482.0
After ICA,Parieto-occipital ROI,familiar,82,-1.5361165929982885,420.0
After ICA,Parieto-occipital ROI,familiar,83,-7.633568015737923,437.0
After ICA,Parieto-occipital ROI,familiar,84,-3.535018640094367,435.0
After ICA,Parieto-occipital ROI,familiar,85,7.823833813270577,311.0
After ICA,Parieto-occipital ROI,familiar,86,-4.436073638388154,500.0
After ICA,Parieto-occipital ROI,familiar,87,-0.7563320256240312,490.0
After ICA,Parieto-occipital ROI,familiar,88,12.750314622967805,321.0
After ICA,Parieto-occipital ROI,familiar,89,-12.194476369536307,334.0
After ICA,Parieto-occipital ROI,familiar,90,-11.330120243436703,300.0
After ICA,Parieto-occipital ROI,familiar,91,1.226537457318214,397.0
After ICA,Parieto-occipital ROI,familiar,92,4.95570194856663,441.0
After ICA,Parieto-occipital ROI,familiar,93,1.4246890561742713,305.0
After ICA,Parieto-occipital ROI,familiar,94,4.832442669718296,390.0
After ICA,Parieto-occipital ROI,familiar,95,-5.95221051832138,344.0
After ICA,Parieto-occipital ROI,familiar,96,-14.010086747040475,431.0
After ICA,Parieto-occipital ROI,familiar,97,-21.687845096443816,402.0
After ICA,Parieto-occipital ROI,familiar,98,0.25027142155273296,440.0
After ICA,Parieto-occipital ROI,familiar,99,2.5019612007962126,309.0
