subject,session,roi,condition,time_s,amplitude_uV
sub-015,ses-01,Frontal ROI,familiar,-0.1,0.206548841147488
sub-015,ses-01,Frontal ROI,familiar,-0.099,0.26071600277479035
sub-015,ses-01,Frontal ROI,familiar,-0.098,0.31455906111572174
sub-015,ses-01,Frontal ROI,familiar,-0.097,0.3630778150578966
sub-015,ses-01,Frontal ROI,familiar,-0.096,0.40158329246253044
sub-015,ses-01,Frontal ROI,familiar,-0.095,0.4264752318330238
sub-015,ses-01,Frontal ROI,familiar,-0.094,0.43587843416641836
sub-015,ses-01,Frontal ROI,familiar,-0.093,0.4299150859039725
sub-015,ses-01,Frontal ROI,familiar,-0.092,0.41044687247291706
sub-015,ses-01,Frontal ROI,familiar,-0.091,0.3803098925432539
sub-015,ses-01,Frontal ROI,familiar,-0.09,0.34231695963575576
sub-015,ses-01,Frontal ROI,familiar,-0.089,0.29845909531957654
sub-015,ses-01,Frontal ROI,familiar,-0.088,0.24966735855611455
sub-015,ses-01,Frontal ROI,familiar,-0.087,0.19622136118000574
sub-015,ses-01,Frontal ROI,familiar,-0.086,0.1385503220064489
sub-015,ses-01,Frontal ROI,familiar,-0.085,0.07795305381560011
sub-015,ses-01,Frontal ROI,familiar,-0.084,0.0167888919643082
sub-015,ses-01,Frontal ROI,familiar,-0.083,-0.042027597140904434
sub-015,ses-01,Frontal ROI,familiar,-0.082,-0.09600839990406887
sub-015,ses-01,Frontal ROI,familiar,-0.081,-0.14405922823684494
sub-015,ses-01,Frontal ROI,familiar,-0.08,-0.18691903588312556
sub-015,ses-01,Frontal ROI,familiar,-0.079,-0.22678631700963442
sub-015,ses-01,Frontal ROI,familiar,-0.078,-0.26620765812262115
sub-015,ses-01,Frontal ROI,familiar,-0.077,-0.3066647852525999
sub-015,ses-01,Frontal ROI,familiar,-0.076,-0.347482684468398
sub-015,ses-01,Frontal ROI,familiar,-0.075,-0.38557501346413425
sub-015,ses-01,Frontal ROI,familiar,-0.074,-0.41618269207271863
sub-015,ses-01,Frontal ROI,familiar,-0.073,-0.4343582335575895
sub-015,ses-01,Frontal ROI,familiar,-0.072,-0.4367033592654723
