subject,session,ROI,SNR_before_dB,SNR_after_dB,Delta_SNR_dB,SME_before_uV,SME_after_uV,Delta_SME_uV,CohenD_before,CohenD_after,Delta_CohenD
sub-002,ses-01,Frontal ROI,26.618938585076265,21.41489847671889,-5.2040401083573755,0.27510137597030077,0.2099771187009522,-0.06512425726934856,-0.3111980113995698,-0.2653533805190436,0.045844630880526205
sub-002,ses-01,Parieto-Occipital ROI,25.005207553346978,19.65885185810676,-5.3463556952402165,0.15659261200599714,0.12931653532886767,-0.027276076677129474,0.47032686491398673,0.4454080666144333,-0.024918798299553457
sub-002,ses-02,Frontal ROI,26.111418156377447,21.45408854498521,-4.657329611392235,0.2887014194267085,0.22004648186964085,-0.06865493755706767,-0.301576669712477,-0.24632868251723386,0.055247987195243126
sub-002,ses-02,Parieto-Occipital ROI,25.597900365853228,20.130804650218536,-5.4670957156346915,0.16525278903978438,0.13511561380274842,-0.030137175237035962,0.4610782578761085,0.42564180128983614,-0.03543645658627237
sub-003,ses-01,Frontal ROI,17.705158492782264,-4.694822286892899,-22.39998077967516,0.3228211970196403,0.164526088285251,-0.1582951087343893,-0.017620936547466385,-0.08705453324754384,-0.06943359670007745
sub-003,ses-01,Parieto-Occipital ROI,19.756873365330684,-4.472767612495473,-24.229640977826158,0.24219945117161953,0.19371895329013553,-0.04848049788148401,0.06167282409944979,0.13517057212524383,0.07349774802579404
sub-003,ses-02,Frontal ROI,17.3673720683899,0.6896155428920526,-16.67775652549785,0.328254155073227,0.3330631519583909,0.0048089968851638965,0.02338077394825121,-0.06825912118583088,-0.09163989513408209
sub-003,ses-02,Parieto-Occipital ROI,19.19930892580379,2.392075452506445,-16.807233473297345,0.24849552320776988,0.2492028959686657,0.0007073727608958302,0.016657819271828304,0.034403913353935535,0.01774609408210723
sub-004,ses-01,Frontal ROI,25.51590718936254,-1.7972014683213757,-27.313108657683916,0.2668608572408632,0.20648037548551834,-0.060380481755344884,0.2774476147967347,-0.01999301079808552,-0.2974406255948202
sub-004,ses-01,Parieto-Occipital ROI,23.865892745791804,-2.824801083055555,-26.69069382884736,0.17213353967345063,0.14627647076637235,-0.025857068907078284,0.22103664033112533,0.00535454747781933,-0.215682092853306
sub-004,ses-02,Frontal ROI,25.304764319778073,19.76501426068204,-5.539750059096033,0.2797247963558666,0.1942161658507674,-0.08550863050509921,0.2879775861423256,0.03469931667704845,-0.25327826946527715
sub-004,ses-02,Parieto-Occipital ROI,23.866177182825624,18.09736957221839,-5.768807610607233,0.179886133114731,0.13495540022725092,-0.04493073288748009,0.20377564304657406,0.585020148551533,0.3812445055049589
sub-006,ses-01,Frontal ROI,17.155961077131824,16.897964399222435,-0.2579966779093894,0.18164584764000669,0.18139813879853933,-0.0002477088414673534,-0.32258482810925976,-0.3795489750450736,-0.056964146935813864
sub-006,ses-01,Parieto-Occipital ROI,26.481305764991653,26.65411964501544,0.1728138800237886,0.09863158845994349,0.0971003995391641,-0.001531188920779386,0.405173797475725,0.48418293901929366,0.07900914154356864
sub-006,ses-02,Frontal ROI,17.22209215471103,16.59136358037664,-0.6307285743343911,0.19158346229255457,0.19151234044033136,-7.112185222321599e-05,-0.33101055095665805,-0.36900098975940443,-0.037990438802746385
sub-006,ses-02,Parieto-Occipital ROI,26.979210777690597,27.235571066697194,0.25636028900659724,0.10316792200639223,0.10243944989877685,-0.0007284721076153827,0.40879967451792654,0.4693178785840223,0.06051820406609576
sub-007,ses-01,Frontal ROI,21.62923385081889,21.734662190793912,0.10542833997502399,1.2146699846651716,1.2087193019797402,-0.005950682685431419,-0.3214306134129138,-0.3232646373718932,-0.0018340239589794138
sub-007,ses-01,Parieto-Occipital ROI,22.31190416845777,22.500264409806853,0.18836024134908413,0.14132381074429323,0.14078339874184653,-0.0005404120024466996,0.346410960852719,0.34807418843156174,0.0016632275788427409
sub-007,ses-02,Frontal ROI,22.477718844624967,22.225295050531578,-0.25242379409338866,1.2924228841002767,1.287244786483829,-0.005178097616447719,-0.3470632788240021,-0.3509771778952729,-0.0039138990712707655
sub-007,ses-02,Parieto-Occipital ROI,23.35088968041204,23.054767460015203,-0.29612222039683544,0.15032823503803208,0.14991382298488645,-0.0004144120531456297,0.3710584169565398,0.3747214368137878,0.0036630198572479844
sub-010,ses-01,Frontal ROI,17.797961655358147,21.69408243924375,3.8961207838856033,0.19064401963028177,0.18372744250981976,-0.0069165771204620086,-0.16811746803476482,-0.26588616186351755,-0.09776869382875272
sub-010,ses-01,Parieto-Occipital ROI,24.74765594135825,23.60453516764691,-1.1431207737113382,0.13339926489328174,0.1304755001129014,-0.002923764780380339,0.6606221661989212,0.7163989242772651,0.055776758078343924
sub-010,ses-02,Frontal ROI,17.349091255249654,22.17043555908319,4.821344303833538,0.19396637804882452,0.1865338208691056,-0.007432557179718913,-0.17177554695001707,-0.2735649616876426,-0.10178941473762554
sub-010,ses-02,Parieto-Occipital ROI,25.35323588505267,23.77006376458079,-1.583172120471879,0.13650336522762466,0.13396595418479235,-0.0025374110428323104,0.6956825253090263,0.7470479010330783,0.051365375724051976
sub-011,ses-01,Frontal ROI,20.22378956267186,17.537630866318136,-2.6861586963537256,0.1638926883817629,0.15936783526784457,-0.004524853113918342,-0.5079506488190075,-0.4408493277899044,0.06710132102910316
sub-011,ses-01,Parieto-Occipital ROI,12.054444535022704,15.756238177959055,3.7017936429363516,0.0719597647724755,0.063578473860856,-0.008381290911619502,0.2662416328415707,0.1653998825718483,-0.10084175026972242
sub-011,ses-02,Frontal ROI,19.589712916328704,16.953690740880923,-2.6360221754477813,0.16845569814748684,0.16643640050114655,-0.00201929764634029,-0.5876264222739354,-0.5281967015295213,0.059429720744414105
sub-011,ses-02,Parieto-Occipital ROI,11.630762651778802,15.089873366847028,3.459110715068226,0.07156213922742538,0.06552403373986507,-0.0060381054875603135,0.2610434134595726,0.17594727737858243,-0.08509613608099018
sub-012,ses-01,Frontal ROI,12.509022076556482,14.663650160949926,2.154628084393444,0.2993039905354955,0.28319059222013915,-0.016113398315356353,0.15420712853933136,0.18373475229107952,0.029527623751748167
sub-012,ses-01,Parieto-Occipital ROI,12.6923801033272,12.977701551700738,0.2853214483735389,0.21726810303173838,0.2098891282412837,-0.007378974790454684,0.20688028598652242,0.21432957964146024,0.007449293654937822
sub-012,ses-02,Frontal ROI,12.318670266951216,14.168395506630997,1.8497252396797812,0.31737768165096747,0.3017798310403017,-0.015597850610665764,0.1866080434408977,0.20989522732631755,0.023287183885419838
sub-012,ses-02,Parieto-Occipital ROI,12.862416517646913,13.38423963786848,0.5218231202215673,0.23229902753827758,0.22462837806779562,-0.0076706494704819606,0.19347703098140145,0.20455650006419945,0.011079469082798
sub-014,ses-01,Frontal ROI,6.378796393290327,6.662925074017711,0.28412868072738373,0.22621185254853662,0.2222941555873716,-0.003917696961165035,-1.1394153161064193,-1.1320125983103264,0.007402717796092917
sub-014,ses-01,Parieto-Occipital ROI,14.517944794179181,16.127302080534275,1.6093572863550936,0.11021899551476701,0.10572142838001308,-0.004497567134753924,1.2314601477850655,1.282583378557072,0.05112323077200642
sub-014,ses-02,Frontal ROI,7.3807022089746885,7.687812871894732,0.3071106629200431,0.23401053058030144,0.22967756859554556,-0.004332961984755884,-1.1330678685016813,-1.1180798794051463,0.014987989096534982
sub-014,ses-02,Parieto-Occipital ROI,14.263778824870661,15.59555722925535,1.3317784043846892,0.11450111161098939,0.10925334565460956,-0.005247765956379824,1.2233726264562321,1.2672147685272315,0.043842142070999346
sub-015,ses-01,Frontal ROI,21.577812623282423,20.217317976276338,-1.3604946470060852,0.24657045132627217,0.17946452918854813,-0.06710592213772404,0.013037735386914823,0.34979025596709157,0.33675252058017674
