subject,session,ROI,SME_familiar_before_uV,SME_familiar_after_uV,Delta_SME_familiar_uV,SME_new_before_uV,SME_new_after_uV,Delta_SME_new_uV
sub-002,ses-01,Frontal ROI,0.9441029587878426,0.3534154801637167,-0.5906874786241259,0.9870717775103715,0.2830273216059408,-0.7040444559044307
sub-002,ses-01,Parietal ROI,0.21307405470678964,0.180250095266343,-0.03282395944044664,0.20107585895557953,0.16698692415898617,-0.03408893479659336
sub-002,ses-02,Frontal ROI,0.9987579124085988,0.37209657965701504,-0.6266613327515838,1.0457728839111817,0.2910137180264195,-0.7547591658847622
sub-002,ses-02,Parietal ROI,0.22621775125607366,0.18900933456473218,-0.03720841669134148,0.21297055963506178,0.17541330738888444,-0.03755725224617734
sub-003,ses-01,Frontal ROI,1.2336152453792093,0.8852811429290496,-0.3483341024501597,2.306136034043582,0.9205430728661619,-1.3855929611774203
sub-003,ses-01,Parietal ROI,0.30028107590319447,0.3821382826368883,0.08185720673369384,0.3194129813919032,0.37903595791586836,0.05962297652396514
sub-003,ses-02,Frontal ROI,1.264112156069596,0.44853613407177684,-0.8155760219978192,2.3034535959389983,0.44302486033559524,-1.860428735603403
sub-003,ses-02,Parietal ROI,0.3142547507169595,0.3437156979028513,0.02946094718589176,0.31975726866218734,0.33958292423895803,0.019825655576770684
sub-004,ses-01,Frontal ROI,1.4614192294632993,0.3574339154515421,-1.1039853140117573,1.1662262046739356,0.3463264016792363,-0.8198998029946993
sub-004,ses-01,Parietal ROI,0.25079719821862734,0.21702612020336684,-0.0337710780152605,0.21440743491804,0.20318272454586056,-0.011224710372179453
sub-004,ses-02,Frontal ROI,1.5565455750263226,0.3244137174377777,-1.232131857588545,1.239873731261625,0.30565423072644426,-0.9342195005351808
sub-004,ses-02,Parietal ROI,0.2609569544478899,0.19196794237735781,-0.0689890120705321,0.2223447165266617,0.17677460280166007,-0.04557011372500164
sub-006,ses-01,Frontal ROI,0.31544037156681315,0.2315167586597199,-0.08392361290709324,0.3738639812967793,0.2995618530584038,-0.07430212823837545
sub-006,ses-01,Parietal ROI,0.12342101778490555,0.11954407041420194,-0.0038769473707036123,0.1332633432428534,0.12907624274619794,-0.004187100496655466
sub-006,ses-02,Frontal ROI,0.31893779163493197,0.24283716059804786,-0.07610063103688411,0.3935775432781938,0.3190081710449486,-0.07456937223324517
sub-006,ses-02,Parietal ROI,0.1278469420349035,0.12513265510484015,-0.002714286930063342,0.13992469043269332,0.1365895056811615,-0.003335184751531828
sub-007,ses-01,Frontal ROI,0.1160503801115585,0.11215978472761745,-0.0038905953839410423,0.12066992102846408,0.11047007421722144,-0.010199846811242641
sub-007,ses-01,Parietal ROI,0.19282712221563775,0.19129874369477404,-0.0015283785208637102,0.21020708691596454,0.20858412629131895,-0.0016229606246455919
sub-007,ses-02,Frontal ROI,0.12273885736332474,0.1185256804024551,-0.004213176960869633,0.1285612639599637,0.11747557336643431,-0.011085690593529388
sub-007,ses-02,Parietal ROI,0.20448545828413256,0.20282532172815104,-0.0016601365559815173,0.2224119298831976,0.22107827856608386,-0.0013336513171137432
sub-010,ses-01,Frontal ROI,0.33028373797704824,0.2942317204429112,-0.03605201753413706,0.6203312514096142,0.5279775388985259,-0.09235371251108826
sub-010,ses-01,Parietal ROI,0.18168797786954236,0.1792446373509189,-0.002443340518623466,0.17640948945404072,0.1677587565049045,-0.008650732949136236
sub-010,ses-02,Frontal ROI,0.3442774911336772,0.2982056131973641,-0.04607187793631312,0.61317433294202,0.5057850390397354,-0.10738929390228458
sub-010,ses-02,Parietal ROI,0.19159604926620902,0.18963287487177177,-0.001963174394437245,0.18095302138609223,0.1722940464607887,-0.008658974925303542
sub-011,ses-01,Frontal ROI,0.4015370098475951,0.2591027870671416,-0.14243422278045348,0.29393830047028624,0.2321664234156541,-0.061771877054632135
sub-011,ses-01,Parietal ROI,0.09870366000784005,0.08438677677277609,-0.014316883235063957,0.09238018415801073,0.08241273719642343,-0.0099674469615873
sub-011,ses-02,Frontal ROI,0.371736684744055,0.25932636871065207,-0.11241031603340296,0.2883335397655391,0.21650921441995827,-0.07182432534558084
sub-011,ses-02,Parietal ROI,0.09696051087070154,0.08600203889657654,-0.010958471974125,0.09472696138212494,0.08401085260812517,-0.010716108773999769
sub-012,ses-01,Frontal ROI,0.9693340667231087,0.85234820873845,-0.11698585798465877,1.3356273157175396,1.2516909334236999,-0.0839363822938397
sub-012,ses-01,Parietal ROI,0.272854478531625,0.26360178412531354,-0.009252694406311435,0.33063301413727636,0.3225716984450356,-0.008061315692240778
