roi,time_ms,category,mean_uV,sem_uV
Frontal ROI,-100.0,animal,-0.19628907149365346,0.17700847927156266
Frontal ROI,-100.0,nonanimal,-0.24377403128226866,0.32626876662690085
Frontal ROI,-99.0,animal,-0.19918494409694035,0.179697314355601
Frontal ROI,-99.0,nonanimal,-0.20201167519015878,0.31848745290044334
Frontal ROI,-98.0,animal,-0.2013059890003807,0.176121147916755
Frontal ROI,-98.0,nonanimal,-0.165317179416924,0.30283328064021336
Frontal ROI,-97.0,animal,-0.20195460378289648,0.16480513014207146
Frontal ROI,-97.0,nonanimal,-0.13180186960765738,0.2798237381427536
Frontal ROI,-96.0,animal,-0.20050270784289922,0.14799619863452868
Frontal ROI,-96.0,nonanimal,-0.0991911566105832,0.2518480598637427
Frontal ROI,-95.0,animal,-0.19654044769882958,0.13077274186468096
Frontal ROI,-95.0,nonanimal,-0.06566858735835089,0.22297766525496743
Frontal ROI,-94.0,animal,-0.18989695021981964,0.11857834490733372
Frontal ROI,-94.0,nonanimal,-0.030375983755619333,0.19855868238369964
Frontal ROI,-93.0,animal,-0.180563918447488,0.11385167213669332
Frontal ROI,-93.0,nonanimal,0.006450890074149484,0.18370715229681298
Frontal ROI,-92.0,animal,-0.16862525504825152,0.11495162268916782
Frontal ROI,-92.0,nonanimal,0.04348120865031152,0.18016074767947599
Frontal ROI,-91.0,animal,-0.154310923046157,0.11883090721472296
Frontal ROI,-91.0,nonanimal,0.07822049365699466,0.1843985861632111
Frontal ROI,-90.0,animal,-0.1381969882281912,0.12334081656183168
Frontal ROI,-90.0,nonanimal,0.10694116065967578,0.19032334584075034
Frontal ROI,-89.0,animal,-0.12142505118894191,0.1272369081646091
Frontal ROI,-89.0,nonanimal,0.12492536703322002,0.19335567240071191
Frontal ROI,-88.0,animal,-0.10574386389172237,0.12971841397298728
Frontal ROI,-88.0,nonanimal,0.12731692154870294,0.19210300981677458
Frontal ROI,-87.0,animal,-0.09325222999193254,0.1303512106139844
Frontal ROI,-87.0,nonanimal,0.1105561207950057,0.18772761620898115
Frontal ROI,-86.0,animal,-0.08588951908214842,0.12887014427696458
Frontal ROI,-86.0,nonanimal,0.07392398306640015,0.1823274890626549
Frontal ROI,-85.0,animal,-0.08485595529408455,0.12484531796065314
Frontal ROI,-85.0,nonanimal,0.020446267151474774,0.17757649462349462
Frontal ROI,-84.0,animal,-0.09018358078922059,0.11790661593695509
Frontal ROI,-84.0,nonanimal,-0.04343250145539006,0.17446377098951368
Frontal ROI,-83.0,animal,-0.1006023028301479,0.10865686853397045
Frontal ROI,-83.0,nonanimal,-0.10943682273948982,0.173791950910126
Frontal ROI,-82.0,animal,-0.11372742275967276,0.09932630037798287
Frontal ROI,-82.0,nonanimal,-0.16968048158597834,0.17637544911682504
Frontal ROI,-81.0,animal,-0.1264948432980399,0.0930167325917298
Frontal ROI,-81.0,nonanimal,-0.21854815707226302,0.1826316134488355
Frontal ROI,-80.0,animal,-0.13574296982648634,0.09165338896841768
Frontal ROI,-80.0,nonanimal,-0.2534737465341238,0.19208906118633182
Frontal ROI,-79.0,animal,-0.1388466696607644,0.09512769221928223
Frontal ROI,-79.0,nonanimal,-0.27448577938374624,0.20312206384628678
Frontal ROI,-78.0,animal,-0.1342981072254709,0.10300817510090671
Frontal ROI,-78.0,nonanimal,-0.2830597858736773,0.21301506728941513
Frontal ROI,-77.0,animal,-0.12209117707911074,0.11561662619154504
Frontal ROI,-77.0,nonanimal,-0.28108831056584616,0.2187408649015059
Frontal ROI,-76.0,animal,-0.10377043361196665,0.13253697014998922
Frontal ROI,-76.0,nonanimal,-0.2705183509553518,0.2184928803749234
Frontal ROI,-75.0,animal,-0.08210133520306398,0.15117167506665924
Frontal ROI,-75.0,nonanimal,-0.2536425145670718,0.2130519209626014
Frontal ROI,-74.0,animal,-0.060459595332027306,0.1674267084588483
Frontal ROI,-74.0,nonanimal,-0.23355548778245322,0.20559095396286742
Frontal ROI,-73.0,animal,-0.0421099200598559,0.17748031102793163
Frontal ROI,-73.0,nonanimal,-0.21417271785351777,0.19922351370135608
Frontal ROI,-72.0,animal,-0.029517137536072723,0.17923702347974882
Frontal ROI,-72.0,nonanimal,-0.19948861294547152,0.1938987708142398
Frontal ROI,-71.0,animal,-0.023789777900207077,0.1730719171127648
Frontal ROI,-71.0,nonanimal,-0.19225772975818148,0.18612403803193195
Frontal ROI,-70.0,animal,-0.02437872411127291,0.16181830707752778
Frontal ROI,-70.0,nonanimal,-0.19273225163006089,0.17238821499069057
Frontal ROI,-69.0,animal,-0.02917948068426528,0.14979207633827893
Frontal ROI,-69.0,nonanimal,-0.1981907472174594,0.15350338122348248
Frontal ROI,-68.0,animal,-0.035077876857982804,0.1405989248599038
Frontal ROI,-68.0,nonanimal,-0.20366459024764832,0.13727020501116144
Frontal ROI,-67.0,animal,-0.03875201725742441,0.13467708246471774
Frontal ROI,-67.0,nonanimal,-0.20366818271985904,0.1353009800491181
Frontal ROI,-66.0,animal,-0.03738266763791609,0.12926736934881647
Frontal ROI,-66.0,nonanimal,-0.19422816620957623,0.15028963566817427
Frontal ROI,-65.0,animal,-0.029015936717461888,0.12140973578610463
Frontal ROI,-65.0,nonanimal,-0.1743495679741697,0.17288282959273762
Frontal ROI,-64.0,animal,-0.012604887905407902,0.11093046343314013
Frontal ROI,-64.0,nonanimal,-0.1463369206871748,0.1949982692887501
Frontal ROI,-63.0,animal,0.012002533472767484,0.10101058963219615
Frontal ROI,-63.0,nonanimal,-0.1149127701016115,0.21579467382969833
Frontal ROI,-62.0,animal,0.04387969838677178,0.09556268021568107
Frontal ROI,-62.0,nonanimal,-0.08559747317814913,0.23763737311559727
Frontal ROI,-61.0,animal,0.08065940842657399,0.09494971530540172
Frontal ROI,-61.0,nonanimal,-0.06309641192475524,0.25970859081366476
Frontal ROI,-60.0,animal,0.11831641299334264,0.09584117264443705
Frontal ROI,-60.0,nonanimal,-0.05037040406668534,0.276379277733176
Frontal ROI,-59.0,animal,0.15151303276941422,0.09590368171283528
Frontal ROI,-59.0,nonanimal,-0.048666136317375486,0.28161509538086105
Frontal ROI,-58.0,animal,0.17470612553086956,0.09648220009130684
Frontal ROI,-58.0,nonanimal,-0.0582171373012685,0.2744424222018432
Frontal ROI,-57.0,animal,0.18379223401633116,0.10034152554129358
Frontal ROI,-57.0,nonanimal,-0.07891644482712665,0.2613895513478961
Frontal ROI,-56.0,animal,0.17768502432467356,0.10731607508787278
Frontal ROI,-56.0,nonanimal,-0.11029084801678188,0.2537171124467241
Frontal ROI,-55.0,animal,0.15911977639647612,0.11380799451475
Frontal ROI,-55.0,nonanimal,-0.15062941225200366,0.25881359556900263
Frontal ROI,-54.0,animal,0.13423483244617063,0.11640242260771376
Frontal ROI,-54.0,nonanimal,-0.19581450190794217,0.2733800623866182
Frontal ROI,-53.0,animal,0.11097209904006164,0.11462832024115303
Frontal ROI,-53.0,nonanimal,-0.23878937082783985,0.28780190300623404
Frontal ROI,-52.0,animal,0.09683404056778029,0.11096180364393145
Frontal ROI,-52.0,nonanimal,-0.2703723823500419,0.29434277571052575
Frontal ROI,-51.0,animal,0.09679066695712955,0.10853515572091275
Frontal ROI,-51.0,nonanimal,-0.28141468544771053,0.2900433970828496
Frontal ROI,-50.0,animal,0.11203840337069812,0.10828373462337294
Frontal ROI,-50.0,nonanimal,-0.2655432223484041,0.27557685795178405
Frontal ROI,-49.0,animal,0.1399352954831805,0.1086674378614462
Frontal ROI,-49.0,nonanimal,-0.2213842698530982,0.25340496615874125
Frontal ROI,-48.0,animal,0.1749814144835404,0.10830493436587361
Frontal ROI,-48.0,nonanimal,-0.15337988097228336,0.2269110797527997
Frontal ROI,-47.0,animal,0.21040104389568737,0.10814931567904373
Frontal ROI,-47.0,nonanimal,-0.07092057758226887,0.20071600447077584
Frontal ROI,-46.0,animal,0.2398079890870332,0.11106370159368309
Frontal ROI,-46.0,nonanimal,0.013843629601942348,0.18099205616667746
Frontal ROI,-45.0,animal,0.25855642181492866,0.1192669411133345
Frontal ROI,-45.0,nonanimal,0.08878144415808772,0.17345823379759082
Frontal ROI,-44.0,animal,0.2645695979719803,0.13228986572626641
Frontal ROI,-44.0,nonanimal,0.14439653056928373,0.17890300576950913
Frontal ROI,-43.0,animal,0.25857243674598934,0.14756802766012952
Frontal ROI,-43.0,nonanimal,0.17573380154770762,0.19227398250506292
Frontal ROI,-42.0,animal,0.24370692094614946,0.1621120488685111
Frontal ROI,-42.0,nonanimal,0.18326607262081263,0.20732837444771507
Frontal ROI,-41.0,animal,0.22455525411779073,0.1733887519426025
Frontal ROI,-41.0,nonanimal,0.17261642058092652,0.22009996225566916
