roi,time_ms,category,mean_uV,sem_uV
Parietal ROI,-100.0,animal,0.0850132423337897,0.07199710827846065
Parietal ROI,-100.0,nonanimal,0.18079963554536743,0.11760789948667384
Parietal ROI,-99.0,animal,0.08070341902022288,0.07252234114167085
Parietal ROI,-99.0,nonanimal,0.1762499656378767,0.12282408129754217
Parietal ROI,-98.0,animal,0.06967456513976014,0.07206928621460112
Parietal ROI,-98.0,nonanimal,0.18339227558525925,0.1322010567177184
Parietal ROI,-97.0,animal,0.05366772410641015,0.07210527830434003
Parietal ROI,-97.0,nonanimal,0.19756292122549274,0.1454248611221673
Parietal ROI,-96.0,animal,0.03565976128845559,0.07348035271810255
Parietal ROI,-96.0,nonanimal,0.21256247974530704,0.159839443921635
Parietal ROI,-95.0,animal,0.019212086757560316,0.07594971460794922
Parietal ROI,-95.0,nonanimal,0.2222986655032324,0.1706255511464842
Parietal ROI,-94.0,animal,0.0075778810703275605,0.07854776927773335
Parietal ROI,-94.0,nonanimal,0.22236660925543061,0.17254533107224262
Parietal ROI,-93.0,animal,0.0027925622646632455,0.0803042053656329
Parietal ROI,-93.0,nonanimal,0.21110708359651853,0.16217147977152363
Parietal ROI,-92.0,animal,0.005042357266796518,0.08061905143386372
Parietal ROI,-92.0,nonanimal,0.18987434294547317,0.13957487686460818
Parietal ROI,-91.0,animal,0.012559812259199271,0.07926331296550312
Parietal ROI,-91.0,nonanimal,0.1624874772792659,0.10902102381898217
Parietal ROI,-90.0,animal,0.022129470333914138,0.07636737991609396
Parietal ROI,-90.0,nonanimal,0.1340704773501647,0.07884827570082731
Parietal ROI,-89.0,animal,0.03006954928563794,0.07258054852827976
Parietal ROI,-89.0,nonanimal,0.10966009103186533,0.06030905252346804
Parietal ROI,-88.0,animal,0.03338241241784108,0.06910196272142467
Parietal ROI,-88.0,nonanimal,0.09301416179586466,0.059180736380089805
Parietal ROI,-87.0,animal,0.03069784829396045,0.06707031450002707
Parietal ROI,-87.0,nonanimal,0.08593988013557445,0.06721224704115561
Parietal ROI,-86.0,animal,0.022687584513963875,0.06654217625592135
Parietal ROI,-86.0,nonanimal,0.08822293059893839,0.07735944219817727
Parietal ROI,-85.0,animal,0.011790145926446578,0.0663781721559729
Parietal ROI,-85.0,nonanimal,0.09800357925687388,0.08942715104827201
Parietal ROI,-84.0,animal,0.0013220987033119524,0.06546043165687736
Parietal ROI,-84.0,nonanimal,0.11233463780617288,0.10340108630773955
Parietal ROI,-83.0,animal,-0.005708560964478348,0.0638589230102608
Parietal ROI,-83.0,nonanimal,0.12771156476721515,0.11637998095253577
Parietal ROI,-82.0,animal,-0.007634458984796111,0.06276966921234611
Parietal ROI,-82.0,nonanimal,0.1405148235691062,0.12436052912021396
Parietal ROI,-81.0,animal,-0.004605963580436895,0.0632331565195644
Parietal ROI,-81.0,nonanimal,0.14743654365551853,0.12475678751855274
Parietal ROI,-80.0,animal,0.0016519141582293257,0.06489174065087941
Parietal ROI,-80.0,nonanimal,0.14598128637604307,0.11764746553178677
Parietal ROI,-79.0,animal,0.008658592444660126,0.06630478311905859
Parietal ROI,-79.0,nonanimal,0.13501945496184492,0.10576358888091615
Parietal ROI,-78.0,animal,0.01419716998320399,0.06636455600720684
Parietal ROI,-78.0,nonanimal,0.11521244253772993,0.09328005913393075
Parietal ROI,-77.0,animal,0.01710944621018217,0.06530166328716906
Parietal ROI,-77.0,nonanimal,0.08905239769376767,0.08343938429783601
Parietal ROI,-76.0,animal,0.01758265649731,0.06461203741375193
Parietal ROI,-76.0,nonanimal,0.06036654867394177,0.07652305200794206
Parietal ROI,-75.0,animal,0.01688360604285617,0.06578795431951921
Parietal ROI,-75.0,nonanimal,0.033389475658630346,0.0709867632887909
Parietal ROI,-74.0,animal,0.016714999415684904,0.06864808906602762
Parietal ROI,-74.0,nonanimal,0.011740267179289646,0.06674879133408478
Parietal ROI,-73.0,animal,0.018477022076552448,0.07116564823356036
Parietal ROI,-73.0,nonanimal,-0.0023193770409735692,0.06606102236486483
Parietal ROI,-72.0,animal,0.02270251675968899,0.07098040701723651
Parietal ROI,-72.0,nonanimal,-0.008151425508980825,0.07023429437658059
Parietal ROI,-71.0,animal,0.02883957374995849,0.06687449277728977
Parietal ROI,-71.0,nonanimal,-0.006586276994378903,0.07681903203362507
Parietal ROI,-70.0,animal,0.03543191941238986,0.05938209375468337
Parietal ROI,-70.0,nonanimal,0.000469544814931061,0.08175399927324242
Parietal ROI,-69.0,animal,0.04062300427775358,0.050605673270282904
Parietal ROI,-69.0,nonanimal,0.010518943870955528,0.08253810704086993
Parietal ROI,-68.0,animal,0.04279697808446229,0.043260268380158784
Parietal ROI,-68.0,nonanimal,0.021008570735993007,0.07958960679046238
Parietal ROI,-67.0,animal,0.04110713133482177,0.03900778486888296
Parietal ROI,-67.0,nonanimal,0.029880472235815546,0.07653671824207661
Parietal ROI,-66.0,animal,0.03567447896183727,0.03749511376158705
Parietal ROI,-66.0,nonanimal,0.036019544349840955,0.07879056460307754
Parietal ROI,-65.0,animal,0.02737562479342116,0.03778393707640663
Parietal ROI,-65.0,nonanimal,0.03940125780728463,0.08900628947988193
Parietal ROI,-64.0,animal,0.017323705620198613,0.03989559527748914
Parietal ROI,-64.0,nonanimal,0.040825369738300255,0.10458008814519268
Parietal ROI,-63.0,animal,0.0062918291171322124,0.04409454073807734
Parietal ROI,-63.0,nonanimal,0.04134555833957863,0.12113849612359241
Parietal ROI,-62.0,animal,-0.005642511409274545,0.04968527591012451
Parietal ROI,-62.0,nonanimal,0.04172051028943717,0.1356460261416819
Parietal ROI,-61.0,animal,-0.019055913606977205,0.05533883191005454
Parietal ROI,-61.0,nonanimal,0.04222970298260276,0.14672041571155356
Parietal ROI,-60.0,animal,-0.034749394884276905,0.06008479784473086
Parietal ROI,-60.0,nonanimal,0.04296306062862295,0.15392239687769355
Parietal ROI,-59.0,animal,-0.05311785641403675,0.06372606547584221
Parietal ROI,-59.0,nonanimal,0.04434784710326065,0.15714479562970274
Parietal ROI,-58.0,animal,-0.0736012018289761,0.06659827918422917
Parietal ROI,-58.0,nonanimal,0.047459319301169145,0.1564532173194252
Parietal ROI,-57.0,animal,-0.09448001878061217,0.06902406912085499
