roi,time_ms,t_value,p_value,p_fdr,sig,mean_diff_uV
Frontal ROI,-100.0,-1.4827357652259225,0.1722917968045237,0.35726084841821365,False,-0.24288731665166755
Frontal ROI,-99.0,-1.396572622569874,0.19602394801345574,0.35726084841821365,False,-0.20289704711912976
Frontal ROI,-98.0,-1.2940883396450866,0.22785394994022035,0.37494276738989313,False,-0.15482062707970407
Frontal ROI,-97.0,-1.1402633182291289,0.28361144992664855,0.43408652052091845,False,-0.10392858584000546
Frontal ROI,-96.0,-0.8352449729791854,0.42519644531033995,0.5479093900046843,False,-0.056397867312292925
Frontal ROI,-95.0,-0.30586750196953744,0.7666623369879687,0.8423672386027681,False,-0.017804667505139846
Frontal ROI,-94.0,0.13024892618695572,0.8992342281933549,0.9450722548179037,False,0.008219506377987023
Frontal ROI,-93.0,0.29088170600714575,0.7777337269015305,0.8531945892926024,False,0.02078126759155157
Frontal ROI,-92.0,0.28362664638018786,0.7831129899589011,0.8568898853122449,False,0.02175005931538735
Frontal ROI,-91.0,0.19183417320867094,0.852130448242733,0.9119747239971845,False,0.015020565744431258
Frontal ROI,-90.0,0.06699985806227732,0.9480466179612932,0.9758893967560448,False,0.005259575530644545
Frontal ROI,-89.0,-0.043201895670984064,0.9664838965619731,0.9861793471469332,False,-0.003446959925011267
Frontal ROI,-88.0,-0.1033410689509429,0.9199583856448375,0.961089162946395,False,-0.008605994919223819
Frontal ROI,-87.0,-0.10956565896850072,0.9151579760274396,0.9589323485728479,False,-0.009683545534676773
Frontal ROI,-86.0,-0.08299889909222237,0.935669118471755,0.9674101062665196,False,-0.007770382379952911
Frontal ROI,-85.0,-0.048846543217756964,0.9621084138762648,0.9845810191638855,False,-0.0047653017789590305
Frontal ROI,-84.0,-0.024965265262356137,0.9806274470846732,0.9914413159589102,False,-0.00247983202018488
Frontal ROI,-83.0,-0.020910622221396502,0.9837732111467674,0.9914413159589102,False,-0.0020684987409896327
Frontal ROI,-82.0,-0.04106840332899243,0.9681380031095581,0.9864313084008725,False,-0.0039886379315055235
Frontal ROI,-81.0,-0.08824938399426425,0.9316109368925407,0.9674101062665196,False,-0.008397306182611886
Frontal ROI,-80.0,-0.1665933372582238,0.8713727466383565,0.926907883753396,False,-0.01565768105190991
Frontal ROI,-79.0,-0.28304207346099575,0.7835469564695421,0.8568898853122449,False,-0.02657209428993799
Frontal ROI,-78.0,-0.44526620462333244,0.666644330002669,0.7594693689584573,False,-0.04211566113518741
Frontal ROI,-77.0,-0.654234793406345,0.5293218238696301,0.6386481902454574,False,-0.06273197275412119
Frontal ROI,-76.0,-0.8961943217162466,0.3934882220772694,0.5243796129318272,False,-0.08753297662639545
Frontal ROI,-75.0,-1.1456480147367487,0.2814894229715144,0.43367102622642173,False,-0.11385521268048224
Frontal ROI,-74.0,-1.379981293394747,0.20090409285627428,0.35744611444733065,False,-0.137502462317246
Frontal ROI,-73.0,-1.5853605097611663,0.14734564028617358,0.34544914327962434,False,-0.15370393316553452
Frontal ROI,-72.0,-1.7372605896813194,0.11635094364372323,0.2944476949250902,False,-0.15849473823012017
Frontal ROI,-71.0,-1.7583386338188038,0.11255642591136544,0.28796370278783645,False,-0.15003885315587898
Frontal ROI,-70.0,-1.52768871380552,0.16093820060314795,0.35373680087939186,False,-0.12942262138325739
Frontal ROI,-69.0,-1.0836446064945806,0.30669771697389153,0.453576159490924,False,-0.10062402895130895
Frontal ROI,-68.0,-0.6521365161388851,0.5306136049498436,0.6391067647248116,False,-0.06962259305515758
Frontal ROI,-67.0,-0.3566658694085369,0.7295609703618793,0.8143666245599958,False,-0.04288660375076864
Frontal ROI,-66.0,-0.19994094109169758,0.8459714683546596,0.9081562010974218,False,-0.025691121677942175
Frontal ROI,-65.0,-0.16085115214771048,0.8757633033831935,0.9287595698511628,False,-0.02080723934236251
