roi,time_ms,t_value,p_value,p_fdr,sig,mean_diff_uV
Parietal ROI,-100.0,0.7900402222839664,0.44981812587231695,0.5961559134095537,False,0.04627330577142473
Parietal ROI,-99.0,0.8643068681511256,0.4098633132931868,0.5634054159079913,False,0.05109558301330277
Parietal ROI,-98.0,0.9060197887656373,0.38853736739938305,0.5436421048841668,False,0.053673857078447115
Parietal ROI,-97.0,0.9111228633388828,0.3859836575601616,0.5422335550093653,False,0.05336615706780708
Parietal ROI,-96.0,0.8858807339467778,0.3987330846638899,0.5534888957413601,False,0.05039011962802259
Parietal ROI,-95.0,0.843983397780718,0.42054509170204546,0.5702168458087695,False,0.0456884188362527
Parietal ROI,-94.0,0.8040306454682756,0.44209798904684805,0.5914326151180163,False,0.04058370781691571
Parietal ROI,-93.0,0.7864449159230947,0.4518164892402202,0.5975912433158385,False,0.03634389865056321
Parietal ROI,-92.0,0.8086171963053475,0.43958652308226753,0.5891972326590239,False,0.03381412670125027
Parietal ROI,-91.0,0.8771928269870594,0.40318940678472615,0.5574670101698087,False,0.033242904305812886
Parietal ROI,-90.0,0.9786292223145231,0.353334587773505,0.5128106543048179,False,0.03434232025522639
Parietal ROI,-89.0,1.0772829153718542,0.30938081308414184,0.4634101495127851,False,0.03651927232081755
Parietal ROI,-88.0,1.131957853727056,0.2869093942432829,0.4405726391542669,False,0.03915433936207724
Parietal ROI,-87.0,1.1202181269010316,0.29162272067708106,0.44248382509661,False,0.04181102942736144
Parietal ROI,-86.0,1.0503987764861036,0.3209203921084506,0.4756135198055472,False,0.04431093503851557
Parietal ROI,-85.0,0.9542800620873477,0.364868333622104,0.5209219997333909,False,0.04667032372074902
Parietal ROI,-84.0,0.8642450335370866,0.4098955236991092,0.5634054159079913,False,0.048941415184990136
Parietal ROI,-83.0,0.7966901068178587,0.4461374739309004,0.5945672418736905,False,0.05103653192365728
Parietal ROI,-82.0,0.7525917889561886,0.4709205106276272,0.614739809962694,False,0.05262970706848995
Parietal ROI,-81.0,0.7246277974354417,0.4870902987234197,0.63348849611339,False,0.05321075378141499
Parietal ROI,-80.0,0.7027641987010966,0.49997501449600734,0.6463333169530242,False,0.052301852802528984
Parietal ROI,-79.0,0.6781048352599326,0.5147594578514629,0.657279380608152,False,0.04975371168116281
Parietal ROI,-78.0,0.6461792857615679,0.5342913263586313,0.6676260602092702,False,0.04596589580855276
Parietal ROI,-77.0,0.6089778844191396,0.5575958462328461,0.6918136074499559,False,0.04187676225500306
Parietal ROI,-76.0,0.5741213847804111,0.5799491714404159,0.7021491695677575,False,0.0386701150805028
Parietal ROI,-75.0,0.5509619613754208,0.595070219505777,0.71185021138831,False,0.03730299814547675
Parietal ROI,-74.0,0.5454172403038625,0.5987216112456131,0.7133156626532341,False,0.03807670412014754
Parietal ROI,-73.0,0.5565944590113645,0.5913732800300362,0.7102594726970491,False,0.04046647056193817
Parietal ROI,-72.0,0.5773220368214744,0.5778761454588688,0.7021491695677575,False,0.0432959987582911
Parietal ROI,-71.0,0.5967704259377026,0.565368259757778,0.6940347162223478,False,0.04517529390792011
Parietal ROI,-70.0,0.6026325176381737,0.5616282784108699,0.6931363083908799,False,0.04501050771287053
Parietal ROI,-69.0,0.5839050528461871,0.57362530392657,0.6993240661783052,False,0.04238710750685102
Parietal ROI,-68.0,0.5363338938949048,0.6047289833207022,0.7172842932450292,False,0.03769938723935069
Parietal ROI,-67.0,0.46780581260567294,0.6510442932657576,0.7493958121170707,False,0.031998837012058
Parietal ROI,-66.0,0.3966739311482417,0.7008493674973612,0.7873323823968753,False,0.026622301635294075
Parietal ROI,-65.0,0.34227582080162233,0.7400007395964888,0.8156297460017904,False,0.02272178160441127
