roi,time_ms,F,p,p_fdr,n_subjects
Frontal ROI,-100.0,0.3098712665341963,0.7373768573791126,0.9392687723490394,10
Frontal ROI,-99.0,0.23141182950299927,0.7957368137383292,0.9392687723490394,10
Frontal ROI,-98.0,0.18395470309607265,0.833518008895066,0.9392687723490394,10
Frontal ROI,-97.0,0.18662938717394387,0.83133644436607,0.9392687723490394,10
Frontal ROI,-96.0,0.23090765915176137,0.7961280505745606,0.9392687723490394,10
Frontal ROI,-95.0,0.280045649924131,0.7589821667323452,0.9392687723490394,10
Frontal ROI,-94.0,0.29178337024861994,0.750396674066189,0.9392687723490394,10
Frontal ROI,-93.0,0.25098150891351606,0.7807145423747133,0.9392687723490394,10
Frontal ROI,-92.0,0.18260624874167866,0.8346202659821425,0.9392687723490394,10
Frontal ROI,-91.0,0.12665960900719894,0.8818117995022808,0.9392687723490394,10
Frontal ROI,-90.0,0.10737452448573229,0.8987601668891583,0.9392687723490394,10
Frontal ROI,-89.0,0.13233029104128563,0.8768960059983574,0.9392687723490394,10
Frontal ROI,-88.0,0.20774552091050516,0.8143344601493107,0.9392687723490394,10
Frontal ROI,-87.0,0.34766491844169767,0.7109750502410417,0.9392687723490394,10
Frontal ROI,-86.0,0.5731244394113705,0.5737190181818845,0.9115654984792707,10
Frontal ROI,-85.0,0.904202132771014,0.4224809472664489,0.9115654984792707,10
Frontal ROI,-84.0,1.3463313269563646,0.28517086119695156,0.9059400779847419,10
Frontal ROI,-83.0,1.8726380984550515,0.18246021908971266,0.9059400779847419,10
Frontal ROI,-82.0,2.4104865754027247,0.1181530959114313,0.8451563289174832,10
Frontal ROI,-81.0,2.848951936519975,0.0841517485645834,0.7761891545233285,10
Frontal ROI,-80.0,3.0816857129180293,0.0706374119271247,0.7761891545233285,10
Frontal ROI,-79.0,3.0687300648599622,0.07132280603058394,0.7761891545233285,10
Frontal ROI,-78.0,2.859459225750876,0.08348310788017987,0.7761891545233285,10
Frontal ROI,-77.0,2.547927458987451,0.1060830899215911,0.7996155487638211,10
Frontal ROI,-76.0,2.2133087221983017,0.1382224453719877,0.888935176199664,10
Frontal ROI,-75.0,1.8989983432747832,0.17852675285136055,0.9059400779847419,10
Frontal ROI,-74.0,1.6247551796394204,0.22454955579919278,0.9059400779847419,10
Frontal ROI,-73.0,1.403812571036379,0.271300071706694,0.9059400779847419,10
Frontal ROI,-72.0,1.2494981552158306,0.310355302957537,0.9059400779847419,10
Frontal ROI,-71.0,1.1726600645969076,0.33210223318820176,0.9059400779847419,10
Frontal ROI,-70.0,1.1775938422813073,0.3306561050611867,0.9059400779847419,10
Frontal ROI,-69.0,1.256575024968441,0.3084333525696321,0.9059400779847419,10
Frontal ROI,-68.0,1.3771930984570993,0.27762815159812815,0.9059400779847419,10
Frontal ROI,-67.0,1.4707916519764164,0.2560748472097045,0.9059400779847419,10
Frontal ROI,-66.0,1.4532164090442081,0.2599759124960612,0.9059400779847419,10
Frontal ROI,-65.0,1.2832721881782765,0.3013010208903848,0.9059400779847419,10
Frontal ROI,-64.0,0.9985469309805606,0.3879275111367614,0.9115654984792707,10
Frontal ROI,-63.0,0.685738166496853,0.5164021755647099,0.9115654984792707,10
Frontal ROI,-62.0,0.42109137347610115,0.6626308346320952,0.9339146850473633,10
Frontal ROI,-61.0,0.23763118485820836,0.7909281169005986,0.9392687723490394,10
Frontal ROI,-60.0,0.13212168384928194,0.8770763027374366,0.9392687723490394,10
Frontal ROI,-59.0,0.08624438202746058,0.9177467703766291,0.9433144956510513,10
Frontal ROI,-58.0,0.08432478214759735,0.9194935999786417,0.9437262277965268,10
Frontal ROI,-57.0,0.12535278895023347,0.8829489902882958,0.9392687723490394,10
Frontal ROI,-56.0,0.2259051606966306,0.8000215984642111,0.9392687723490394,10
Frontal ROI,-55.0,0.4157743395922529,0.6660061060056718,0.9352397510883499,10
Frontal ROI,-54.0,0.732803917976735,0.49435714954988563,0.9115654984792707,10
Frontal ROI,-53.0,1.1956551124062893,0.32542158733391213,0.9059400779847419,10
Frontal ROI,-52.0,1.6056030559925452,0.22822555360473706,0.9059400779847419,10
Frontal ROI,-51.0,1.2315441089310861,0.315291278194894,0.9059400779847419,10
Frontal ROI,-50.0,0.4008254509907963,0.6755985108933614,0.9353158078269981,10
Frontal ROI,-49.0,0.05960920198067782,0.9423178262487519,0.9559548425475761,10
Frontal ROI,-48.0,0.02410032788685114,0.9762192100991999,0.9762192100991999,10
Frontal ROI,-47.0,0.06652789299156042,0.9358657789508029,0.952124749672366,10
Frontal ROI,-46.0,0.10139024752325675,0.9040926899299613,0.9392687723490394,10
Frontal ROI,-45.0,0.09988493024272084,0.9054395888240817,0.9392687723490394,10
Frontal ROI,-44.0,0.06510988942818681,0.9371841330583917,0.952124749672366,10
Frontal ROI,-43.0,0.034785546973135975,0.9658772767299144,0.9734407172048155,10
Frontal ROI,-42.0,0.04548092482290942,0.9556472751699949,0.9652863687235826,10
Frontal ROI,-41.0,0.08037722921777489,0.9230974823844404,0.9460399636717731,10
Frontal ROI,-40.0,0.09689978422247267,0.9081171800435184,0.9392687723490394,10
Frontal ROI,-39.0,0.07229687265635318,0.9305234157240277,0.9508701376421915,10
Frontal ROI,-38.0,0.028967458368044246,0.9714932669778439,0.9751954148669376,10
Frontal ROI,-37.0,0.06917481571846036,0.9334103769584283,0.9512395307960034,10
Frontal ROI,-36.0,0.30348748466206305,0.7419430743853916,0.9392687723490394,10
Frontal ROI,-35.0,0.6283614948343351,0.544767384568261,0.9115654984792707,10
Frontal ROI,-34.0,0.8688694064142893,0.4362907109756341,0.9115654984792707,10
Frontal ROI,-33.0,1.0102559553643986,0.3838627275384783,0.9115654984792707,10
Frontal ROI,-32.0,1.1084228993210044,0.35158631199071055,0.9115654984792707,10
Frontal ROI,-31.0,1.1963321040899237,0.3252271798894195,0.9059400779847419,10
Frontal ROI,-30.0,1.2778254387263182,0.30274114544853603,0.9059400779847419,10
Frontal ROI,-29.0,1.3539783559945489,0.2832809106078812,0.9059400779847419,10
Frontal ROI,-28.0,1.436680606194234,0.26370662975262593,0.9059400779847419,10
Frontal ROI,-27.0,1.547745489677578,0.2397429290192633,0.9059400779847419,10
Frontal ROI,-26.0,1.7157902086791743,0.20795279526620425,0.9059400779847419,10
Frontal ROI,-25.0,1.9698794334178982,0.16840923199378488,0.9059400779847419,10
