roi,time_ms,F,p,p_fdr,n_subjects
Parieto-occipital ROI,-100.0,0.2509493046832495,0.7807390029939997,0.9076252754540527,10
Parieto-occipital ROI,-99.0,0.3493118993605538,0.7098486317143186,0.8609063855220369,10
Parieto-occipital ROI,-98.0,0.4491621429193964,0.6451235158846831,0.8239419003620218,10
Parieto-occipital ROI,-97.0,0.5256538186643943,0.5999698630352475,0.7995796083416511,10
Parieto-occipital ROI,-96.0,0.5571878597105095,0.5823867426395738,0.7995796083416511,10
Parieto-occipital ROI,-95.0,0.5358650119906573,0.5942124311329944,0.7995796083416511,10
Parieto-occipital ROI,-94.0,0.4784266006326692,0.6274170594871511,0.814234781529925,10
Parieto-occipital ROI,-93.0,0.42147943155034956,0.6623852392370024,0.8321362951704995,10
Parieto-occipital ROI,-92.0,0.39581879141796106,0.6788454224649207,0.8392780267158897,10
Parieto-occipital ROI,-91.0,0.4145043151171994,0.6668151454746887,0.8332217771439514,10
Parieto-occipital ROI,-90.0,0.4964481292145736,0.6167821283044322,0.8107343734574304,10
Parieto-occipital ROI,-89.0,0.6976417552339583,0.5107252802482669,0.7449331586855091,10
Parieto-occipital ROI,-88.0,1.1026465957125706,0.35339966667994016,0.6224451415644172,10
Parieto-occipital ROI,-87.0,1.7474166793105539,0.20250968728897722,0.5238350213637382,10
Parieto-occipital ROI,-86.0,2.552410491928136,0.10571316469749648,0.3446740858276513,10
Parieto-occipital ROI,-85.0,3.387859877078505,0.05639180898657015,0.22084166536081382,10
Parieto-occipital ROI,-84.0,4.1729896238004045,0.03243571212793461,0.1369724951908564,10
Parieto-occipital ROI,-83.0,4.854038658592862,0.020606063245317663,0.09678766002454399,10
Parieto-occipital ROI,-82.0,5.295294343171562,0.015539772873140123,0.07880784211358285,10
Parieto-occipital ROI,-81.0,5.236044792864153,0.016131638181991148,0.07963576313785771,10
Parieto-occipital ROI,-80.0,4.539641377631353,0.02533483803796499,0.11311924499753796,10
Parieto-occipital ROI,-79.0,3.506139054678918,0.051769420749234074,0.20387844913041062,10
Parieto-occipital ROI,-78.0,2.5799030145349784,0.103475679386977,0.33895537967416295,10
Parieto-occipital ROI,-77.0,1.9451289412835548,0.17186785030113128,0.4819174522443721,10
Parieto-occipital ROI,-76.0,1.5792253466469814,0.2333983450342616,0.5351848965271779,10
Parieto-occipital ROI,-75.0,1.41232651253684,0.2693100618156521,0.5601968941625285,10
Parieto-occipital ROI,-74.0,1.385401021999253,0.27565961517109483,0.5683452653968749,10
Parieto-occipital ROI,-73.0,1.4508187693104317,0.26051320132027933,0.5517213115574496,10
Parieto-occipital ROI,-72.0,1.56380380029472,0.23648284752701698,0.5351848965271779,10
Parieto-occipital ROI,-71.0,1.6764242758637498,0.21495629500895252,0.5324535788030944,10
Parieto-occipital ROI,-70.0,1.7230127342717954,0.20669557978622843,0.5268858233823496,10
Parieto-occipital ROI,-69.0,1.5878530684194831,0.23169221032401732,0.5351848965271779,10
Parieto-occipital ROI,-68.0,1.1272740559310497,0.34573991511933744,0.6182746951496315,10
Parieto-occipital ROI,-67.0,0.47665014074126216,0.6284763743286798,0.814234781529925,10
Parieto-occipital ROI,-66.0,0.08950497883789899,0.9147880824871281,0.9609796024074683,10
Parieto-occipital ROI,-65.0,0.005637289838152257,0.9943803247104969,0.994380324710497,10
Parieto-occipital ROI,-64.0,0.020272612422965162,0.9799538360531435,0.9855776744236062,10
Parieto-occipital ROI,-63.0,0.03546886596322409,0.9652200641285743,0.9805575928134407,10
Parieto-occipital ROI,-62.0,0.03406627071940953,0.9665696100343617,0.9805575928134407,10
Parieto-occipital ROI,-61.0,0.023734017260061753,0.9765759269385675,0.9850067982502674,10
Parieto-occipital ROI,-60.0,0.016179529645033178,0.9839649486306177,0.9881940243410645,10
Parieto-occipital ROI,-59.0,0.020537227256685834,0.9796951464642815,0.9855776744236062,10
Parieto-occipital ROI,-58.0,0.043875310122188,0.9571753173238039,0.9752614788430036,10
Parieto-occipital ROI,-57.0,0.09928402570770296,0.9059778771640612,0.959194612708887,10
Parieto-occipital ROI,-56.0,0.20976548201721457,0.8127284112118613,0.9253422770565208,10
Parieto-occipital ROI,-55.0,0.40342655713288855,0.6739184591803602,0.8364136008887239,10
Parieto-occipital ROI,-54.0,0.7102112481578925,0.5048059685853943,0.7428058568476683,10
Parieto-occipital ROI,-53.0,1.1537190590760644,0.33771962579662596,0.614507608123379,10
Parieto-occipital ROI,-52.0,1.7296893394493733,0.2055409001621733,0.5266829816990007,10
Parieto-occipital ROI,-51.0,2.3903740151077577,0.12004407276587081,0.37567363843247964,10
Parieto-occipital ROI,-50.0,3.061872450299661,0.07168858363093822,0.26589257738247457,10
Parieto-occipital ROI,-49.0,3.6693718780033415,0.04606667100604578,0.18348145667748916,10
Parieto-occipital ROI,-48.0,4.136943198205279,0.03324556254589317,0.13955173260282103,10
Parieto-occipital ROI,-47.0,4.394850332996609,0.027908840675868962,0.12076603280113668,10
Parieto-occipital ROI,-46.0,4.417221095127271,0.02749282691464261,0.12003062566036515,10
Parieto-occipital ROI,-45.0,4.2408842390255375,0.030969178614941306,0.13157208611559912,10
Parieto-occipital ROI,-44.0,3.930520117253854,0.03833881067510314,0.15716670341080294,10
Parieto-occipital ROI,-43.0,3.5288075263066627,0.05093249461749316,0.20171569902182318,10
Parieto-occipital ROI,-42.0,3.0457053763665733,0.07255919489439056,0.2663036419945957,10
Parieto-occipital ROI,-41.0,2.5080983978562754,0.1094335494434624,0.34869508254485065,10
Parieto-occipital ROI,-40.0,2.005680097209336,0.16354249536080712,0.4746654853609343,10
Parieto-occipital ROI,-39.0,1.6314382505540748,0.2232823505220729,0.5351848965271779,10
Parieto-occipital ROI,-38.0,1.4068302509032118,0.2705928697884534,0.5612000050938043,10
Parieto-occipital ROI,-37.0,1.3009140782733737,0.29668849326517854,0.5825732038624374,10
Parieto-occipital ROI,-36.0,1.2778008611320784,0.3027476610915951,0.5868451212019065,10
Parieto-occipital ROI,-35.0,1.3197285367864475,0.29185566403633323,0.5796461104485336,10
Parieto-occipital ROI,-34.0,1.4314661625325769,0.26489539117397587,0.5576326402791504,10
Parieto-occipital ROI,-33.0,1.636300460626079,0.22236539974027403,0.5351848965271779,10
Parieto-occipital ROI,-32.0,1.9670723248842723,0.16879758045081972,0.47905710079362196,10
Parieto-occipital ROI,-31.0,2.4536251276029892,0.11420783592888617,0.36062924768535676,10
Parieto-occipital ROI,-30.0,3.110924689760091,0.06911731410702915,0.259097525075013,10
Parieto-occipital ROI,-29.0,3.9312607393645287,0.03831905292638815,0.15716670341080294,10
Parieto-occipital ROI,-28.0,4.856096735708016,0.02057853362253792,0.09678766002454399,10
Parieto-occipital ROI,-27.0,5.673100847283973,0.01228812054510564,0.07362369659930816,10
Parieto-occipital ROI,-26.0,5.9395641785282045,0.010450600120394227,0.06731719498960972,10
Parieto-occipital ROI,-25.0,5.364022389166948,0.01488325505896404,0.07861107003949379,10
Parieto-occipital ROI,-24.0,4.287197308176784,0.03001111479081353,0.12827921627048955,10
Parieto-occipital ROI,-23.0,3.2166215774639593,0.06391789922563806,0.24415057578418597,10
Parieto-occipital ROI,-22.0,2.3392077282698103,0.12500810802082496,0.3832178392418775,10
Parieto-occipital ROI,-21.0,1.6365363362531524,0.22232102313899837,0.5351848965271779,10
Parieto-occipital ROI,-20.0,1.068827133312823,0.36422740726781555,0.6328101923665671,10
Parieto-occipital ROI,-19.0,0.6327142320537508,0.5425559070970394,0.7704423210743517,10
Parieto-occipital ROI,-18.0,0.3378952129114174,0.7176978084313987,0.863401405442489,10
Parieto-occipital ROI,-17.0,0.1686303390383527,0.8461403703184449,0.9253422770565208,10
Parieto-occipital ROI,-16.0,0.08446134520758986,0.9193692060556773,0.961292711162296,10
Parieto-occipital ROI,-15.0,0.046558384803478126,0.9546233905939826,0.974077142367368,10
Parieto-occipital ROI,-14.0,0.03199632911683689,0.9685650935353178,0.9811620383934362,10
Parieto-occipital ROI,-13.0,0.03460069812044968,0.9660551488157949,0.9805575928134407,10
Parieto-occipital ROI,-12.0,0.06723301258164367,0.9352109784673887,0.961292711162296,10
Parieto-occipital ROI,-11.0,0.1687926206987049,0.8460055946571616,0.9253422770565208,10
Parieto-occipital ROI,-10.0,0.38531813585657404,0.685711760228902,0.84627454915574,10
Parieto-occipital ROI,-9.0,0.6970101609775152,0.5110247433620538,0.7449331586855091,10
Parieto-occipital ROI,-8.0,1.0198879878233977,0.38055443331385375,0.6384773895193051,10
Parieto-occipital ROI,-7.0,1.3074126639458656,0.29500923545314284,0.5812310386266543,10
Parieto-occipital ROI,-6.0,1.5594133151419618,0.23736926289762306,0.5351848965271779,10
Parieto-occipital ROI,-5.0,1.773651338556122,0.19811453316048633,0.5196919090014638,10
Parieto-occipital ROI,-4.0,1.9137855769647667,0.1763615196679187,0.48708494156933807,10
Parieto-occipital ROI,-3.0,1.9081382975351098,0.17718496447957377,0.48708494156933807,10
Parieto-occipital ROI,-2.0,1.7358303168543392,0.20448517922441778,0.5266829816990007,10
Parieto-occipital ROI,-1.0,1.5430977217592867,0.24069579196742963,0.5372081932824583,10
Parieto-occipital ROI,0.0,1.5553187122809178,0.23819926921038448,0.5351848965271779,10
Parieto-occipital ROI,1.0,1.9498797048773506,0.17119790763797837,0.4819174522443721,10
Parieto-occipital ROI,2.0,2.8240968273659033,0.085757238457143,0.2946854125414571,10
Parieto-occipital ROI,3.0,3.9450764277702977,0.03795255473391479,0.15716670341080294,10
Parieto-occipital ROI,4.0,4.674297800385322,0.02317593589473399,0.10414314783467003,10
Parieto-occipital ROI,5.0,4.743353232354344,0.022148698170639802,0.10093501606577641,10
Parieto-occipital ROI,6.0,4.413169302520461,0.02756766152827217,0.12003062566036515,10
Parieto-occipital ROI,7.0,3.917304382564713,0.03869327985558946,0.15769761150446635,10
Parieto-occipital ROI,8.0,3.322080877543958,0.05915971727481961,0.23039423227582528,10
Parieto-occipital ROI,9.0,2.6545501378395406,0.09766140188002193,0.3244580223596937,10
Parieto-occipital ROI,10.0,2.0290531550577993,0.16044955483115286,0.4706072717014149,10
Parieto-occipital ROI,11.0,1.6141909196776878,0.22656902146085767,0.5351848965271779,10
Parieto-occipital ROI,12.0,1.50163226744065,0.24938557253971272,0.5413514899600079,10
Parieto-occipital ROI,13.0,1.7092641203889956,0.20909609319324618,0.5301612548648525,10
Parieto-occipital ROI,14.0,2.233951393414566,0.1359532897133523,0.4090268501676393,10
Parieto-occipital ROI,15.0,3.01438063787292,0.0742796931836942,0.26840239650396724,10
Parieto-occipital ROI,16.0,3.8570371777632775,0.04035659230359334,0.1635258451145603,10
Parieto-occipital ROI,17.0,4.446321149196901,0.02696194808695329,0.11886997238336011,10
Parieto-occipital ROI,18.0,4.486618481133156,0.026245505172961647,0.11644366535598807,10
Parieto-occipital ROI,19.0,3.9333658651665004,0.03826295574672656,0.15716670341080294,10
Parieto-occipital ROI,20.0,3.0752100354609033,0.070979076210817,0.2646613426796953,10
Parieto-occipital ROI,21.0,2.262134558790247,0.1329217888947537,0.405122495718358,10
Parieto-occipital ROI,22.0,1.6570677522830963,0.21849577505109152,0.5351848965271779,10
Parieto-occipital ROI,23.0,1.2674324689234033,0.3055103228573586,0.5868451212019065,10
Parieto-occipital ROI,24.0,1.0534404946246703,0.3692752318424185,0.632870432968284,10
Parieto-occipital ROI,25.0,0.9807220773048291,0.3942075367884531,0.6471650662498961,10
Parieto-occipital ROI,26.0,1.0273012508013042,0.37802978640978036,0.637016539118404,10
Parieto-occipital ROI,27.0,1.1709346024742044,0.33260963684901435,0.614507608123379,10
Parieto-occipital ROI,28.0,1.373468380754993,0.27852661256800837,0.5708981152344265,10
Parieto-occipital ROI,29.0,1.5752868676722416,0.2341818174330801,0.5351848965271779,10
Parieto-occipital ROI,30.0,1.7041564589483151,0.20999577126688596,0.5301612548648525,10
Parieto-occipital ROI,31.0,1.7027209521673106,0.21024939921887165,0.5301612548648525,10
Parieto-occipital ROI,32.0,1.5671946384773319,0.23580077251141396,0.5351848965271779,10
Parieto-occipital ROI,33.0,1.3515276821047726,0.28388507092460435,0.5718489503395048,10
Parieto-occipital ROI,34.0,1.123342983521322,0.3469501057516232,0.6188601122948801,10
Parieto-occipital ROI,35.0,0.9252518483779912,0.4144849488697099,0.655378330676282,10
Parieto-occipital ROI,36.0,0.7709195543557926,0.47726946072827026,0.7210471809709428,10
Parieto-occipital ROI,37.0,0.6582298533172775,0.5297912161249493,0.7579258010277335,10
Parieto-occipital ROI,38.0,0.5817001850361924,0.5691141549413216,0.7915655210592588,10
Parieto-occipital ROI,39.0,0.5394665827688359,0.5921964042145273,0.7995796083416511,10
Parieto-occipital ROI,40.0,0.5332820923445007,0.5956629500682808,0.7995796083416511,10
Parieto-occipital ROI,41.0,0.5626187046625502,0.579416730971081,0.7988408804700684,10
Parieto-occipital ROI,42.0,0.621344102971324,0.5483538026833377,0.7733020780375186,10
Parieto-occipital ROI,43.0,0.6998713433151668,0.5096697048683358,0.7449331586855091,10
Parieto-occipital ROI,44.0,0.7878350299798621,0.46989715653795994,0.7125904774455483,10
Parieto-occipital ROI,45.0,0.8772743691455038,0.43296074852057087,0.6769688360460578,10
Parieto-occipital ROI,46.0,0.9649446297751606,0.39986056562304373,0.6489101738494228,10
Parieto-occipital ROI,47.0,1.0475634936131897,0.3712237479473578,0.632870432968284,10
Parieto-occipital ROI,48.0,1.113828117116706,0.3498988117304618,0.6193915833915498,10
Parieto-occipital ROI,49.0,1.1486185771710629,0.33925027723787116,0.614507608123379,10
Parieto-occipital ROI,50.0,1.151194489871307,0.3384762861986381,0.614507608123379,10
Parieto-occipital ROI,51.0,1.1430406653127914,0.3409330353540774,0.6151590598854979,10
Parieto-occipital ROI,52.0,1.1524922641977768,0.3380870840609099,0.614507608123379,10
Parieto-occipital ROI,53.0,1.1958486450175883,0.3253659986142694,0.6098437567609702,10
Parieto-occipital ROI,54.0,1.2715617515513211,0.30440673159081455,0.5868451212019065,10
Parieto-occipital ROI,55.0,1.3678282255730312,0.279893263721684,0.5712716202660183,10
Parieto-occipital ROI,56.0,1.472776125287087,0.2556384683335857,0.5440591389309862,10
Parieto-occipital ROI,57.0,1.569034431898391,0.2354316087163747,0.5351848965271779,10
Parieto-occipital ROI,58.0,1.6180450907201422,0.22582992866807328,0.5351848965271779,10
Parieto-occipital ROI,59.0,1.5744286960659775,0.23435291896378996,0.5351848965271779,10
Parieto-occipital ROI,60.0,1.4386767593242502,0.26325312714479077,0.5558447052063202,10
Parieto-occipital ROI,61.0,1.2672421405046548,0.30556129705948054,0.5868451212019065,10
Parieto-occipital ROI,62.0,1.1157159553909295,0.34931155370798916,0.6193915833915498,10
Parieto-occipital ROI,63.0,1.001711017081208,0.3868244043050164,0.6425685009900866,10
Parieto-occipital ROI,64.0,0.9111110200924653,0.41983777951250245,0.658403318653835,10
Parieto-occipital ROI,65.0,0.815947421169047,0.45792312305537997,0.7008823346327978,10
Parieto-occipital ROI,66.0,0.6916575599824898,0.5135704646237884,0.7449331586855091,10
Parieto-occipital ROI,67.0,0.5330101196715032,0.59581591359019,0.7995796083416511,10
Parieto-occipital ROI,68.0,0.36059831586322083,0.702182663977613,0.8575436366695239,10
Parieto-occipital ROI,69.0,0.2094464467210618,0.8129818384778829,0.9253422770565208,10
Parieto-occipital ROI,70.0,0.10723882456995135,0.8988806996384627,0.9590797114863963,10
Parieto-occipital ROI,71.0,0.059668262864126555,0.9422625401130897,0.9643910838940414,10
Parieto-occipital ROI,72.0,0.051973077029727414,0.9494963569301554,0.970257939078774,10
Parieto-occipital ROI,73.0,0.06303166039021978,0.9391200455763361,0.9638699150058735,10
Parieto-occipital ROI,74.0,0.07958311093404706,0.9238243600159242,0.961292711162296,10
Parieto-occipital ROI,75.0,0.09915639582343323,0.9060922533775445,0.959194612708887,10
Parieto-occipital ROI,76.0,0.12342251853388374,0.8846316878142362,0.9503017273567063,10
Parieto-occipital ROI,77.0,0.1516761221930405,0.8603532559364182,0.9336031461477231,10
Parieto-occipital ROI,78.0,0.17921039333763286,0.8374032970218381,0.9253422770565208,10
Parieto-occipital ROI,79.0,0.19956140626399937,0.8208777444517614,0.9253422770565208,10
Parieto-occipital ROI,80.0,0.20862512632633684,0.8136346624760079,0.9253422770565208,10
Parieto-occipital ROI,81.0,0.2076704572468172,0.8143942103646346,0.9253422770565208,10
Parieto-occipital ROI,82.0,0.2016477161926143,0.8192041879907092,0.9253422770565208,10
Parieto-occipital ROI,83.0,0.19483376394549248,0.8246841500698416,0.9253422770565208,10
Parieto-occipital ROI,84.0,0.18882221328694676,0.8295526320982641,0.9253422770565208,10
Parieto-occipital ROI,85.0,0.182959180763344,0.8343316149726862,0.9253422770565208,10
Parieto-occipital ROI,86.0,0.17605124216401694,0.8400016006654337,0.9253422770565208,10
Parieto-occipital ROI,87.0,0.16955951772275354,0.8453690057915878,0.9253422770565208,10
Parieto-occipital ROI,88.0,0.170761395943321,0.8443724164343583,0.9253422770565208,10
Parieto-occipital ROI,89.0,0.19130306125151705,0.8275396464667668,0.9253422770565208,10
Parieto-occipital ROI,90.0,0.23637999823160583,0.7918929121569164,0.9160345403003274,10
Parieto-occipital ROI,91.0,0.2899619918812622,0.7517218094725525,0.8871329771721538,10
Parieto-occipital ROI,92.0,0.3178236620979425,0.7317322555904364,0.8693971375744,10
Parieto-occipital ROI,93.0,0.29613906434702286,0.7472382216070523,0.8833288252049641,10
Parieto-occipital ROI,94.0,0.23440319448164554,0.7934199000436277,0.9162888796220479,10
Parieto-occipital ROI,95.0,0.1642600092818769,0.8497789366957917,0.9278738857067756,10
Parieto-occipital ROI,96.0,0.1107276453299203,0.8957875208971049,0.9580818291911215,10
Parieto-occipital ROI,97.0,0.08065075670256498,0.9228472625409215,0.961292711162296,10
Parieto-occipital ROI,98.0,0.0708149944156692,0.9318924674012692,0.961292711162296,10
Parieto-occipital ROI,99.0,0.07703818398318399,0.926158087685886,0.961292711162296,10
Parieto-occipital ROI,100.0,0.0963068140293272,0.9086501042039706,0.959194612708887,10
Parieto-occipital ROI,101.0,0.12462590881394373,0.8835822243184727,0.9503017273567063,10
Parieto-occipital ROI,102.0,0.15529966221476105,0.8572934607671231,0.931725141081788,10
Parieto-occipital ROI,103.0,0.18051548656514943,0.836332506050844,0.9253422770565208,10
Parieto-occipital ROI,104.0,0.19492284095502227,0.8246122497425186,0.9253422770565208,10
Parieto-occipital ROI,105.0,0.1977609939674889,0.8223250189392426,0.9253422770565208,10
Parieto-occipital ROI,106.0,0.1924999096823594,0.8265704525680628,0.9253422770565208,10
Parieto-occipital ROI,107.0,0.18529609764605257,0.8324231272037454,0.9253422770565208,10
Parieto-occipital ROI,108.0,0.18311649017922133,0.8342029927303366,0.9253422770565208,10
Parieto-occipital ROI,109.0,0.1918243543074971,0.8271173543018477,0.9253422770565208,10
Parieto-occipital ROI,110.0,0.21494784952696616,0.8086240413068917,0.9253422770565208,10
Parieto-occipital ROI,111.0,0.25349425088359273,0.7788086198917281,0.9068851205051519,10
Parieto-occipital ROI,112.0,0.306179583025583,0.7400136395904281,0.8762661509339359,10
Parieto-occipital ROI,113.0,0.3693010619902476,0.696334377446356,0.8533748227096076,10
Parieto-occipital ROI,114.0,0.43597539878435076,0.6532830430179755,0.8239419003620218,10
Parieto-occipital ROI,115.0,0.4950632515582809,0.6175922331330497,0.8107343734574304,10
Parieto-occipital ROI,116.0,0.531203790175901,0.5968329419712848,0.7995796083416511,10
Parieto-occipital ROI,117.0,0.5288338462628291,0.5981702322992588,0.7995796083416511,10
Parieto-occipital ROI,118.0,0.48173258296832616,0.6254509575564875,0.8141581109768101,10
Parieto-occipital ROI,119.0,0.40163530602375347,0.675074928008037,0.8364136008887239,10
Parieto-occipital ROI,120.0,0.313568067189134,0.7347468769804806,0.8715017948617884,10
Parieto-occipital ROI,121.0,0.23948235827750067,0.7895030640843149,0.9147795833439747,10
Parieto-occipital ROI,122.0,0.1878987273702137,0.8303033471851159,0.9253422770565208,10
Parieto-occipital ROI,123.0,0.1562476691274132,0.8564949401424977,0.931725141081788,10
Parieto-occipital ROI,124.0,0.13728962682910217,0.8726218139825963,0.943993659879321,10
Parieto-occipital ROI,125.0,0.12343932924220652,0.8846170178442601,0.9503017273567063,10
Parieto-occipital ROI,126.0,0.10983397746827794,0.8965787160476115,0.9580818291911215,10
Parieto-occipital ROI,127.0,0.09777994432486284,0.9073267879368248,0.959194612708887,10
Parieto-occipital ROI,128.0,0.09682805889362973,0.9081816237721732,0.959194612708887,10
Parieto-occipital ROI,129.0,0.12123261167725069,0.8865450369471246,0.9503017273567063,10
Parieto-occipital ROI,130.0,0.17949598633313932,0.8371688461539905,0.9253422770565208,10
Parieto-occipital ROI,131.0,0.26487912737190433,0.7702376884673034,0.9003456937415232,10
Parieto-occipital ROI,132.0,0.3575100937560344,0.7042710665180125,0.8585982915289162,10
Parieto-occipital ROI,133.0,0.43560851448791693,0.6535116927265109,0.8239419003620218,10
Parieto-occipital ROI,134.0,0.48481045575545784,0.6236266665465111,0.8141581109768101,10
Parieto-occipital ROI,135.0,0.5020461488504577,0.613519494468171,0.8099381650135364,10
Parieto-occipital ROI,136.0,0.4956521777183132,0.617247587607636,0.8107343734574304,10
Parieto-occipital ROI,137.0,0.48079567721447897,0.6260074490962919,0.8141581109768101,10
Parieto-occipital ROI,138.0,0.4714059165184096,0.6316151501902871,0.8154000373543118,10
Parieto-occipital ROI,139.0,0.47485139955423156,0.6295510008405412,0.814234781529925,10
Parieto-occipital ROI,140.0,0.49155608808271894,0.6196490939202275,0.8119140464263167,10
Parieto-occipital ROI,141.0,0.5165404031596348,0.6051607089992177,0.8049670910976312,10
Parieto-occipital ROI,142.0,0.5419643366791627,0.5908027165985259,0.7995796083416511,10
Parieto-occipital ROI,143.0,0.5614713168374288,0.5800428076451709,0.7988408804700684,10
Parieto-occipital ROI,144.0,0.5742802998695569,0.5730959561148347,0.7949722061428993,10
Parieto-occipital ROI,145.0,0.5855084529366118,0.5670824335410344,0.7903077254717,10
Parieto-occipital ROI,146.0,0.602400605313544,0.5581670568484033,0.7825502137014614,10
Parieto-occipital ROI,147.0,0.6290709096325326,0.5444062729311427,0.7704423210743517,10
Parieto-occipital ROI,148.0,0.6627250411272404,0.5275771659580871,0.7563018268642516,10
Parieto-occipital ROI,149.0,0.6943355687729611,0.5122950345400747,0.7449331586855091,10
Parieto-occipital ROI,150.0,0.714373484690781,0.502862691439961,0.7428058568476683,10
Parieto-occipital ROI,151.0,0.7185923091115912,0.5009014727858963,0.7428058568476683,10
Parieto-occipital ROI,152.0,0.7088420071495389,0.5054470666424219,0.7428058568476683,10
Parieto-occipital ROI,153.0,0.6900593543740196,0.5143333078513359,0.7449331586855091,10
Parieto-occipital ROI,154.0,0.6670816540224227,0.5254411754493697,0.7547833278483774,10
Parieto-occipital ROI,155.0,0.64306472815767,0.5373371253112769,0.7671554477458352,10
Parieto-occipital ROI,156.0,0.6193759431312688,0.5493643863946994,0.7733020780375186,10
Parieto-occipital ROI,157.0,0.5961370037415018,0.5614545778364625,0.7855881418430343,10
Parieto-occipital ROI,158.0,0.5729157748409559,0.5738315781858874,0.7949722061428993,10
Parieto-occipital ROI,159.0,0.5495361695165888,0.5866000330722265,0.7995796083416511,10
Parieto-occipital ROI,160.0,0.5265846463464795,0.5994424701414167,0.7995796083416511,10
Parieto-occipital ROI,161.0,0.5046005410874544,0.6120371205586677,0.8095057009653321,10
Parieto-occipital ROI,162.0,0.48198469830862456,0.625301303117382,0.8141581109768101,10
Parieto-occipital ROI,163.0,0.4541027471063486,0.6420956442751966,0.8239419003620218,10
Parieto-occipital ROI,164.0,0.4168234903780622,0.6653385915664065,0.8328613440858053,10
Parieto-occipital ROI,165.0,0.3734463480572212,0.6935677707524779,0.8514728674211681,10
Parieto-occipital ROI,166.0,0.33727166812727233,0.7181292756420885,0.863401405442489,10
Parieto-occipital ROI,167.0,0.3250080800360501,0.7266740203535137,0.8648531209979848,10
Parieto-occipital ROI,168.0,0.34715404804489625,0.7113248529390337,0.8612067735928542,10
Parieto-occipital ROI,169.0,0.4012323703389828,0.6753353753252749,0.8364136008887239,10
